interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
32,receive,83,S49.1,41,107,13.208
32,receive,23,S03.1,11,76,12.1617
32,receive,126,S54.0,63,5,15.3272
32,receive,60,S14.0,30,17,13.2051
32,receive,98,S26.0,49,35,8.42105
32,receive,103,S48.1,51,43,13.208
32,receive,53,S33.1,26,60,9.15373
32,receive,69,S57.1,34,123,11.2136
32,receive,16,S52.0,8,88,17.4221
32,receive,36,S43.0,18,98,3.76956
32,receive,58,S13.0,29,96,13.2051
32,receive,86,S22.0,43,126,9.57287
32,receive,14,S45.0,7,47,26.4497
32,receive,77,S42.1,38,41,16.9719
32,receive,73,S18.1,36,20,41.4915
32,receive,65,S21.1,32,51,7.95083
32,receive,38,S06.0,19,10,29.3147
32,receive,59,S13.1,29,49,5.63138
32,receive,4,S10.0,2,77,6.76609
32,receive,31,S05.1,15,85,23.4815
32,receive,119,S41.1,59,13,20.3147
32,receive,44,S07.0,22,91,24.8384
32,receive,34,S35.0,17,60,9.15373
32,receive,62,S62.0,31,45,5.63138
32,receive,51,S16.1,25,122,14.2779
32,receive,48,S08.0,24,18,4.62961
32,receive,123,S46.1,61,22,7.33742
32,receive,91,S28.1,45,121,8.45109
32,receive,127,S54.1,63,73,23.4183
32,receive,97,S50.1,48,46,24.7444
32,receive,7,S27.1,3,25,7.79847
32,receive,60,S14.0,30,76,11.9903
32,receive,11,S63.1,5,13,7.79847
32,receive,18,S59.0,9,0,17.3749
32,receive,7,S27.1,3,39,8.8395
32,receive,57,S12.1,28,96,11.6671
32,receive,16,S52.0,8,11,17.508
32,receive,65,S21.1,32,122,9.65277
32,receive,96,S50.0,48,71,13.208
32,receive,45,S07.1,22,54,4.62961
32,receive,4,S10.0,2,63,6.76609
32,receive,21,S61.1,10,33,22.7913
32,receive,111,S60.1,55,41,9.57287
32,receive,121,S44.1,60,26,7.79847
32,receive,1,S00.1,0,109,2.84103
32,receive,54,S09.0,27,10,6.76609
32,receive,63,S62.1,31,93,13.2051
32,receive,36,S43.0,18,39,8.44733
32,receive,50,S16.0,25,33,18.656
32,receive,66,S34.0,33,123,7.85633
32,receive,102,S48.0,51,58,38.6939
32,receive,88,S23.0,44,55,4.62961
32,receive,28,S58.0,14,12,12.7424
32,receive,23,S03.1,11,15,17.9769
32,receive,115,S47.1,57,62,9.15373
32,receive,32,S11.0,16,86,6.76609
32,receive,51,S16.1,25,55,4.62961
32,receive,114,S47.0,57,120,7.74354
32,receive,102,S48.0,51,80,13.208
32,receive,123,S46.1,61,54,7.86542
32,receive,34,S35.0,17,0,16.3835
32,receive,10,S63.0,5,6,12.7543
32,receive,17,S52.1,8,32,7.79847
32,receive,90,S28.0,45,83,9.02722
32,receive,115,S47.1,57,4,7.74354
32,receive,116,S51.0,58,66,24.7444
32,receive,51,S16.1,25,5,4.62961
32,receive,47,S39.1,23,105,21.0441
32,receive,123,S46.1,61,33,7.33742
32,receive,23,S03.1,11,44,5.63138
32,receive,58,S13.0,29,119,11.7096
32,receive,6,S27.0,3,10,16.6444
32,receive,98,S26.0,49,29,19.0627
32,receive,10,S63.0,5,51,7.05294
32,receive,106,S55.0,53,32,15.3272
32,receive,92,S24.0,46,67,8.42105
32,receive,98,S26.0,49,14,7.18922
32,receive,91,S28.1,45,50,8.42105
32,receive,90,S28.0,45,67,8.83959
32,receive,87,S22.1,43,75,9.02734
32,receive,30,S05.0,15,86,20.9191
32,receive,16,S52.0,8,31,15.3272
32,receive,47,S39.1,23,75,9.39182
32,receive,71,S17.1,35,26,13.3474
32,receive,2,S01.0,1,10,17.4275
32,receive,22,S03.0,11,78,0.869462
32,receive,4,S10.0,2,30,8.44744
32,receive,55,S09.1,27,72,9.02734
32,receive,104,S30.0,52,60,9.15373
32,receive,39,S06.1,19,15,4.62961
32,receive,11,S63.1,5,16,12.7542
32,receive,61,S14.1,30,103,11.2136
