flow_id,source_terminal,destination_terminal,label
50980,126,0,incast
50981,50,0,incast
50982,64,0,incast
50983,109,0,incast
50984,11,0,incast
50985,5,0,incast
50986,65,0,incast
50987,53,0,incast
