switches,terminals,codes_runtime_mean_sec,codes_runtime_std_sec,simgrid_runtime_mean_sec,simgrid_runtime_std_sec,codes_gbit_per_wall_sec,simgrid_gbit_per_wall_sec,codes_over_simgrid_runtime
32,64,0.822666667,0.002081666,0.001768201,0.000029092,38897.893030794,18097490.047794338,465.256306645
64,128,1.808233333,0.006653069,0.004612042,0.000038810,35393.662322340,13876716.647419950,392.067837486
128,256,7.877866667,0.009555278,0.014515971,0.000131039,16248.053618577,8817873.977516994,542.703402175
