switches,terminals,interval_seconds,codes_runtime_mean_sec,codes_runtime_std_sec,simgrid_runtime_mean_sec,simgrid_runtime_std_sec,codes_gbit_per_wall_sec,simgrid_gbit_per_wall_sec,codes_over_simgrid_runtime
128,256,1,8.160166667,0.262110556,0.014933434,0.000436868,15685.954126754,8571370.791205827,546.436048578
128,256,10,0.637133333,0.001703917,0.014988176,0.000129458,200899.863974050,8540065.371976446,42.509064979
128,256,100,0.057866667,0.000152753,0.007339230,0.000078364,2211981.566820276,17440520.897491023,7.884568822
128,256,1000,0.037366667,0.000251661,0.006150333,0.000202334,3425512.934879572,20811882.370807260,6.075552119
