interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,trace_offer,63,S62.1,31,0,100
0,trace_offer,67,S34.1,33,0,100
0,trace_offer,107,S55.1,53,0,100
0,trace_offer,123,S46.1,61,0,100
0,trace_offer,35,S35.1,17,0,100
0,trace_offer,112,S36.0,56,0,100
0,trace_offer,124,S56.0,62,0,100
0,trace_offer,61,S14.1,30,0,100
0,trace_offer,118,S41.0,59,0,100
0,trace_offer,108,S31.0,54,0,100
0,trace_offer,10,S63.0,5,0,100
0,trace_offer,21,S61.1,10,0,100
0,trace_offer,72,S18.0,36,0,100
0,trace_offer,84,S20.0,42,0,100
0,trace_offer,85,S20.1,42,0,100
0,trace_offer,95,S25.1,47,0,100
0,send,108,S31.0,54,0,52.5085
0,send,67,S34.1,33,0,40.862
0,send,95,S25.1,47,0,51.7346
0,send,84,S20.0,42,0,40.5759
0,send,72,S18.0,36,0,52.6982
0,send,112,S36.0,56,0,51.7323
0,send,124,S56.0,62,0,63.9062
0,send,35,S35.1,17,0,51.9221
0,send,118,S41.0,59,0,63.8125
0,send,107,S55.1,53,0,63.9062
0,send,61,S14.1,30,0,63.5341
0,send,21,S61.1,10,0,63.3437
0,send,10,S63.0,5,0,63.0851
0,send,85,S20.1,42,0,40.5739
0,send,123,S46.1,61,0,52.3007
0,send,63,S62.1,31,0,63.3466
1,trace_offer,118,S41.0,59,0,100
1,trace_offer,67,S34.1,33,0,100
1,trace_offer,108,S31.0,54,0,100
1,trace_offer,72,S18.0,36,0,100
1,trace_offer,61,S14.1,30,0,100
1,trace_offer,85,S20.1,42,0,100
1,trace_offer,123,S46.1,61,0,100
1,trace_offer,124,S56.0,62,0,100
1,trace_offer,35,S35.1,17,0,100
1,trace_offer,107,S55.1,53,0,100
1,trace_offer,10,S63.0,5,0,100
1,trace_offer,95,S25.1,47,0,100
1,trace_offer,21,S61.1,10,0,100
1,trace_offer,63,S62.1,31,0,100
1,trace_offer,84,S20.0,42,0,100
1,trace_offer,112,S36.0,56,0,100
1,send,67,S34.1,33,0,39.7097
1,send,108,S31.0,54,0,51.655
1,send,35,S35.1,17,0,50.877
