interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,60,S44,0,switch,18,51689,121,0,0,1,203.923,0,0,100,0
1,stage_arrival,10,S61,0,switch,1,51683,21,0,0,1,227.172,0,0,100,0
1,stage_arrival,43,S22,0,switch,0,51691,87,0,0,1,203.304,0,0,100,0
1,stage_arrival,24,S08,0,switch,22,51684,49,0,0,1,182.424,0,0,100,0
1,stage_arrival,37,S32,0,switch,0,51681,75,0,0,1,103.31,0,0,100,0
1,stage_arrival,40,S29,1,switch,45,51685,80,0,0,1,131.396,0,0,100,0
1,stage_arrival,6,S02,0,switch,1,51686,12,0,0,1,138.732,0,0,100,0
1,stage_arrival,54,S31,1,switch,37,51693,108,0,0,1,242.335,0,0,100,0
1,stage_arrival,44,S23,0,switch,43,51687,88,0,0,1,211.017,0,0,100,0
1,stage_arrival,41,S49,2,switch,26,51695,83,0,0,1,214.063,0,0,100,0
1,stage_arrival,42,S20,2,switch,3,51690,84,0,0,1,251.806,0,0,100,0
1,stage_arrival,18,S43,0,switch,38,51680,37,0,0,1,157.659,0,0,100,0
1,stage_arrival,32,S21,1,switch,43,51694,65,0,0,1,261.425,0,0,100,0
1,stage_arrival,55,S60,1,switch,37,51682,110,0,0,1,243.133,0,0,100,0
1,stage_arrival,31,S62,3,switch,5,51692,62,0,0,1,238.676,0,0,100,0
1,stage_arrival,7,S45,2,switch,61,51688,14,0,0,1,100.666,0,0,100,0
1,allocate_send_arrival,31,S62,3,switch,5,51692,62,0,0,1,238.676,0,100,0,0
1,allocate_send_arrival,44,S23,0,switch,43,51687,88,0,0,1,211.017,0,100,0,0
1,allocate_send_arrival,24,S08,0,switch,22,51684,49,0,0,1,182.424,0,100,0,0
1,allocate_send_arrival,37,S32,0,switch,0,51681,75,0,0,1,103.31,0,100,0,0
