interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,trace_offer,14,S45.0,7,0,100
0,trace_offer,88,S23.0,44,0,100
0,trace_offer,121,S44.1,60,0,100
0,trace_offer,83,S49.1,41,0,100
0,trace_offer,75,S32.1,37,0,100
0,trace_offer,65,S21.1,32,0,100
0,trace_offer,49,S08.1,24,0,100
0,trace_offer,37,S43.1,18,0,100
0,trace_offer,62,S62.0,31,0,100
0,trace_offer,110,S60.0,55,0,100
0,trace_offer,87,S22.1,43,0,100
0,trace_offer,12,S02.0,6,0,100
0,trace_offer,80,S29.0,40,0,100
0,trace_offer,108,S31.0,54,0,100
0,trace_offer,21,S61.1,10,0,100
0,trace_offer,84,S20.0,42,0,100
0,send,108,S31.0,54,0,35.2091
0,send,83,S49.1,41,0,24.9984
0,send,62,S62.0,31,0,63.3464
0,send,65,S21.1,32,0,51.682
0,send,84,S20.0,42,0,24.7091
0,send,110,S60.0,55,0,35.2091
0,send,37,S43.1,18,0,25.0966
0,send,75,S32.1,37,0,35.016
0,send,121,S44.1,60,0,25.5829
0,send,12,S02.0,6,0,63.3464
0,send,80,S29.0,40,0,51.965
0,send,21,S61.1,10,0,63.3481
0,send,49,S08.1,24,0,25.1936
0,send,88,S23.0,44,0,51.682
0,send,87,S22.1,43,0,51.4124
0,send,14,S45.0,7,0,64.1875
1,trace_offer,121,S44.1,60,0,100
1,trace_offer,108,S31.0,54,0,100
1,trace_offer,37,S43.1,18,0,100
1,trace_offer,83,S49.1,41,0,100
1,trace_offer,87,S22.1,43,0,100
1,trace_offer,62,S62.0,31,0,100
1,trace_offer,75,S32.1,37,0,100
1,trace_offer,49,S08.1,24,0,100
1,trace_offer,65,S21.1,32,0,100
1,trace_offer,80,S29.0,40,0,100
1,trace_offer,12,S02.0,6,0,100
1,trace_offer,110,S60.0,55,0,100
1,trace_offer,14,S45.0,7,0,100
1,trace_offer,21,S61.1,10,0,100
1,trace_offer,84,S20.0,42,0,100
1,trace_offer,88,S23.0,44,0,100
1,send,37,S43.1,18,0,23.8258
1,send,108,S31.0,54,0,34.4367
1,send,75,S32.1,37,0,34.4367
1,send,110,S60.0,55,0,34.4367
1,send,84,S20.0,42,0,23.8258
1,send,65,S21.1,32,0,50.826
1,send,83,S49.1,41,0,23.8258
1,send,121,S44.1,60,0,23.8258
1,send,80,S29.0,40,0,50.826
1,send,88,S23.0,44,0,50.826
1,send,87,S22.1,43,0,50.826
1,send,12,S02.0,6,0,62.5
1,send,14,S45.0,7,0,62.5
1,send,62,S62.0,31,0,62.5
1,send,49,S08.1,24,0,23.8258
1,send,21,S61.1,10,0,62.5
2,trace_offer,108,S31.0,54,0,100
2,trace_offer,49,S08.1,24,0,100
2,trace_offer,62,S62.0,31,0,100
2,trace_offer,121,S44.1,60,0,100
2,trace_offer,84,S20.0,42,0,100
2,trace_offer,83,S49.1,41,0,100
2,trace_offer,65,S21.1,32,0,100
2,trace_offer,14,S45.0,7,0,100
2,trace_offer,110,S60.0,55,0,100
2,trace_offer,75,S32.1,37,0,100
2,trace_offer,88,S23.0,44,0,100
2,trace_offer,80,S29.0,40,0,100
2,trace_offer,12,S02.0,6,0,100
2,trace_offer,37,S43.1,18,0,100
2,trace_offer,21,S61.1,10,0,100
2,trace_offer,87,S22.1,43,0,100
2,send,65,S21.1,32,0,50.826
2,send,87,S22.1,43,0,50.826
2,send,88,S23.0,44,0,50.826
2,send,110,S60.0,55,0,34.4367
2,send,121,S44.1,60,0,23.8258
2,send,80,S29.0,40,0,50.826
2,send,21,S61.1,10,0,62.5
2,send,83,S49.1,41,0,23.8258
2,send,37,S43.1,18,0,23.8258
2,send,14,S45.0,7,0,62.5
2,send,84,S20.0,42,0,23.8258
2,send,62,S62.0,31,0,62.5
2,send,12,S02.0,6,0,62.5
2,send,108,S31.0,54,0,34.4367
2,send,49,S08.1,24,0,23.8258
2,send,75,S32.1,37,0,34.4367
3,trace_offer,37,S43.1,18,0,100
3,trace_offer,88,S23.0,44,0,100
3,trace_offer,84,S20.0,42,0,100
3,trace_offer,65,S21.1,32,0,100
3,trace_offer,62,S62.0,31,0,100
3,trace_offer,80,S29.0,40,0,100
3,trace_offer,83,S49.1,41,0,100
3,trace_offer,14,S45.0,7,0,100
3,trace_offer,12,S02.0,6,0,100
