switches,terminals,load,pdes_runtime_mean_sec,statistical_runtime_mean_sec,runtime_overhead_sec,runtime_ratio,pdes_simulated_gbit_per_wall_sec,statistical_simulated_gbit_per_wall_sec,physical_zmq_requests_mean,accumulated_zmq_total_sec_mean,query_wait_fraction_of_runtime_overhead
32,64,high,1.1309,7.7321,6.6012,6.837120877177469,1380513.4815133112,201913.80412526702,12291,6.3040858566,0.9549908890201781
32,64,medium,0.38962,5.035299999999999,4.64568,12.92361788409219,729238.4392866035,56425.27821972996,8747,4.455303693399999,0.9590207877856417
64,128,high,2.7661599999999997,15.99778,13.231620000000001,5.783389247187437,1146998.0999979463,198318.6561698384,24494,12.6605958864,0.9568439757490012
64,128,medium,1.1205,11.6284,10.5079,10.377867023650156,511616.08598454663,49301.859624411794,19570,10.073043002,0.9586161842042654
128,256,high,7.8423,34.5019,26.659599999999998,4.399461892557031,811765.3709066373,184503.77854051095,49522,25.528591000000002,0.9575759201188316
