switches,terminals,load,mode,repeat,runtime_sec,net_events,generated_gbit,simulated_gbit_per_wall_sec,zmq_requests,zmq_processing_mean_sec,zmq_total_mean_sec,zmq_client_transport_mean_sec,zmq_accumulated_total_sec,zmq_batch_requests,zmq_query_rows,zmq_cache_hits,zmq_mean_batch_size
64,128,medium,statistical,3,11.4796,210284,573260.2302359998,49937.300100700355,19570,2.7777e-05,0.000507074,0.00047929700000000006,9.923438180000002,0,0,0,0.0
64,128,medium,statistical,4,11.6183,210284,573260.2302359998,49341.14545467063,19570,2.864e-05,0.000514189,0.00048554899999999994,10.06267873,0,0,0,0.0
64,128,medium,statistical,5,11.5713,210284,573260.2302359998,49541.55801301494,19570,2.7965e-05,0.000511619,0.00048365400000000003,10.012383830000001,0,0,0,0.0
128,256,high,pdes,1,7.789,1477535,6365584.277019998,817253.08473745,0,0.0,0.0,0.0,0.0,0,0,0,0.0
128,256,high,pdes,2,7.8118,1477535,6365584.277019998,814867.7996134051,0,0.0,0.0,0.0,0.0,0,0,0,0.0
128,256,high,pdes,3,7.8001,1477535,6365584.277019998,816090.0856424916,0,0.0,0.0,0.0,0.0,0,0,0,0.0
128,256,high,pdes,4,7.8275,1477535,6365584.277019998,813233.379370169,0,0.0,0.0,0.0,0.0,0,0,0,0.0
128,256,high,pdes,5,7.9831,1477535,6365584.277019998,797382.5051696707,0,0.0,0.0,0.0,0.0,0,0,0,0.0
128,256,high,statistical,1,34.5509,1477535,6365584.277019998,184237.8715755595,49522,2.9053e-05,0.000516554,0.000487501,25.580787188000002,0,0,0,0.0
128,256,high,statistical,2,34.7714,1477535,6365584.277019998,183069.54212427448,49522,2.9636e-05,0.000520699,0.000491063,25.786055878,0,0,0,0.0
128,256,high,statistical,3,34.4776,1477535,6365584.277019998,184629.56461644656,49522,2.8957e-05,0.000515307,0.00048635,25.519033254,0,0,0,0.0
128,256,high,statistical,4,34.4506,1477535,6365584.277019998,184774.26451266443,49522,2.8706e-05,0.000514077,0.00048537100000000007,25.458121194000004,0,0,0,0.0
128,256,high,statistical,5,34.259,1477535,6365584.277019998,185807.6498736098,49522,2.8501e-05,0.000510863,0.00048236199999999996,25.298957486,0,0,0,0.0
