point,target_gbit,fluid_runtime_mean_sec,packet_runtime_mean_sec,fluid_gbit_per_wall_sec,packet_gbit_per_wall_sec,fluid_events_per_gbit,packet_events_per_gbit,data_rate_ratio_fluid_over_packet,event_granularity_ratio_packet_over_fluid
small,2.214592512,0.17673333333333333,122.96686666666666,12.530712342410846,0.01801008307796983,24871.84423388857,56393858.158227175,695.760940588807,2267.377425972659
medium,4.429185024,0.17603333333333332,249.54059999999998,25.16107127519441,0.01774962089427105,12435.922116944284,56396082.26942294,1417.555418511249,4534.933697645286
large,8.858370048,0.17653333333333335,504.3533,50.17969946011583,0.017564089469877153,6217.961058472142,56397183.60070027,2856.948522505266,9070.044516257874
