interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,trace_offer,48,S08.0,24,0,100
0,trace_offer,109,S31.1,54,0,100
0,trace_offer,115,S47.1,57,0,100
0,trace_offer,112,S36.0,56,0,100
0,trace_offer,118,S41.0,59,0,100
0,trace_offer,5,S10.1,2,0,100
0,trace_offer,100,S38.0,50,0,100
0,trace_offer,104,S30.0,52,0,100
0,send,104,S30.0,52,0,51.5982
0,send,115,S47.1,57,0,67.7614
0,send,5,S10.1,2,0,69.2481
0,send,112,S36.0,56,0,67.7749
0,send,118,S41.0,59,0,69.262
0,send,109,S31.1,54,0,51.6137
0,send,48,S08.0,24,0,100
0,send,100,S38.0,50,0,67.7749
1,trace_offer,118,S41.0,59,0,100
1,trace_offer,48,S08.0,24,0,100
1,trace_offer,100,S38.0,50,0,100
1,trace_offer,104,S30.0,52,0,100
1,trace_offer,109,S31.1,54,0,100
1,trace_offer,5,S10.1,2,0,100
1,trace_offer,115,S47.1,57,0,100
1,trace_offer,112,S36.0,56,0,100
1,send,115,S47.1,57,0,67.836
1,send,118,S41.0,59,0,69.366
1,send,48,S08.0,24,0,100
1,send,104,S30.0,52,0,51.655
1,send,100,S38.0,50,0,67.836
1,send,5,S10.1,2,0,69.366
1,send,109,S31.1,54,0,51.655
1,send,112,S36.0,56,0,67.836
2,trace_offer,118,S41.0,59,0,100
2,trace_offer,100,S38.0,50,0,100
2,trace_offer,112,S36.0,56,0,100
2,trace_offer,48,S08.0,24,0,100
2,trace_offer,104,S30.0,52,0,100
2,trace_offer,5,S10.1,2,0,100
2,trace_offer,115,S47.1,57,0,100
2,trace_offer,109,S31.1,54,0,100
2,send,109,S31.1,54,0,51.655
2,send,104,S30.0,52,0,51.655
2,send,5,S10.1,2,0,69.366
2,send,112,S36.0,56,0,67.836
2,send,48,S08.0,24,0,100
2,send,100,S38.0,50,0,67.836
2,send,115,S47.1,57,0,67.836
2,send,118,S41.0,59,0,69.366
3,trace_offer,100,S38.0,50,0,100
3,trace_offer,115,S47.1,57,0,100
3,trace_offer,48,S08.0,24,0,100
3,trace_offer,109,S31.1,54,0,100
3,trace_offer,104,S30.0,52,0,100
3,trace_offer,112,S36.0,56,0,100
3,trace_offer,118,S41.0,59,0,100
3,trace_offer,5,S10.1,2,0,100
3,send,118,S41.0,59,0,69.366
3,send,48,S08.0,24,0,100
3,send,100,S38.0,50,0,67.836
3,send,112,S36.0,56,0,67.836
3,send,5,S10.1,2,0,69.366
3,send,104,S30.0,52,0,51.655
3,send,109,S31.1,54,0,51.655
3,send,115,S47.1,57,0,67.836
4,trace_offer,112,S36.0,56,0,100
4,trace_offer,118,S41.0,59,0,100
4,trace_offer,115,S47.1,57,0,100
4,trace_offer,104,S30.0,52,0,100
4,trace_offer,48,S08.0,24,0,100
4,trace_offer,5,S10.1,2,0,100
4,trace_offer,109,S31.1,54,0,100
4,trace_offer,100,S38.0,50,0,100
4,receive,0,S00.0,0,100,67.7749
4,receive,0,S00.0,0,109,51.6137
4,receive,0,S00.0,0,112,67.7749
4,send,109,S31.1,54,0,51.655
4,send,115,S47.1,57,0,67.836
4,send,118,S41.0,59,0,69.366
4,send,100,S38.0,50,0,67.836
4,send,5,S10.1,2,0,69.366
4,send,112,S36.0,56,0,67.836
4,send,48,S08.0,24,0,100
4,send,104,S30.0,52,0,51.655
5,trace_offer,100,S38.0,50,0,100
5,trace_offer,118,S41.0,59,0,100
5,trace_offer,112,S36.0,56,0,100
5,trace_offer,5,S10.1,2,0,100
5,trace_offer,48,S08.0,24,0,100
5,trace_offer,104,S30.0,52,0,100
5,trace_offer,115,S47.1,57,0,100
5,trace_offer,109,S31.1,54,0,100
5,receive,0,S00.0,0,115,67.7614
5,receive,0,S00.0,0,112,67.836
5,receive,0,S00.0,0,100,67.836
5,receive,0,S00.0,0,104,51.5982
5,receive,0,S00.0,0,109,51.655
5,send,115,S47.1,57,0,67.836
5,send,112,S36.0,56,0,67.836
5,send,104,S30.0,52,0,51.655
5,send,5,S10.1,2,0,69.366
5,send,100,S38.0,50,0,67.836
5,send,48,S08.0,24,0,100
5,send,109,S31.1,54,0,51.655
5,send,118,S41.0,59,0,69.366
6,trace_offer,115,S47.1,57,0,100
6,trace_offer,104,S30.0,52,0,100
6,trace_offer,112,S36.0,56,0,100
6,trace_offer,48,S08.0,24,0,100
6,trace_offer,109,S31.1,54,0,100
6,trace_offer,100,S38.0,50,0,100
6,trace_offer,118,S41.0,59,0,100
6,trace_offer,5,S10.1,2,0,100
6,receive,0,S00.0,0,118,69.262
6,receive,0,S00.0,0,109,51.655
6,receive,0,S00.0,0,104,51.655
6,receive,0,S00.0,0,48,100
6,receive,0,S00.0,0,115,67.836
6,receive,0,S00.0,0,112,67.836
6,receive,0,S00.0,0,100,67.836
6,send,5,S10.1,2,0,69.366
6,send,48,S08.0,24,0,100
6,send,100,S38.0,50,0,67.836
6,send,104,S30.0,52,0,51.655
6,send,118,S41.0,59,0,69.366
6,send,109,S31.1,54,0,51.655
6,send,112,S36.0,56,0,67.836
6,send,115,S47.1,57,0,67.836
7,trace_offer,109,S31.1,54,0,100
7,trace_offer,100,S38.0,50,0,100
7,trace_offer,5,S10.1,2,0,100
7,trace_offer,48,S08.0,24,0,100
7,trace_offer,115,S47.1,57,0,100
7,trace_offer,112,S36.0,56,0,100
7,trace_offer,118,S41.0,59,0,100
7,trace_offer,104,S30.0,52,0,100
7,receive,0,S00.0,0,112,67.836
7,receive,0,S00.0,0,48,100
7,receive,0,S00.0,0,104,51.655
7,receive,0,S00.0,0,109,51.655
7,receive,0,S00.0,0,100,67.836
7,receive,0,S00.0,0,118,69.366
7,receive,0,S00.0,0,5,69.2481
7,receive,0,S00.0,0,115,67.836
7,send,5,S10.1,2,0,69.366
7,send,115,S47.1,57,0,67.836
7,send,100,S38.0,50,0,67.836
7,send,112,S36.0,56,0,67.836
7,send,48,S08.0,24,0,100
7,send,109,S31.1,54,0,51.655
7,send,118,S41.0,59,0,69.366
7,send,104,S30.0,52,0,51.655
8,trace_offer,104,S30.0,52,0,100
8,trace_offer,115,S47.1,57,0,100
8,trace_offer,112,S36.0,56,0,100
8,trace_offer,100,S38.0,50,0,100
8,trace_offer,5,S10.1,2,0,100
8,trace_offer,118,S41.0,59,0,100
8,trace_offer,109,S31.1,54,0,100
8,trace_offer,48,S08.0,24,0,100
8,receive,0,S00.0,0,104,51.655
8,receive,0,S00.0,0,48,100
8,receive,0,S00.0,0,112,67.836
8,receive,0,S00.0,0,115,67.836
8,receive,0,S00.0,0,109,51.655
8,receive,0,S00.0,0,118,69.366
8,receive,0,S00.0,0,100,67.836
8,receive,0,S00.0,0,5,69.366
8,send,5,S10.1,2,0,69.366
8,send,115,S47.1,57,0,67.836
8,send,48,S08.0,24,0,100
8,send,104,S30.0,52,0,51.655
8,send,118,S41.0,59,0,69.366
8,send,100,S38.0,50,0,67.836
8,send,109,S31.1,54,0,51.655
8,send,112,S36.0,56,0,67.836
9,trace_offer,100,S38.0,50,0,100
9,trace_offer,48,S08.0,24,0,100
9,trace_offer,104,S30.0,52,0,100
9,trace_offer,5,S10.1,2,0,100
9,trace_offer,115,S47.1,57,0,100
9,trace_offer,118,S41.0,59,0,100
9,trace_offer,109,S31.1,54,0,100
9,trace_offer,112,S36.0,56,0,100
9,receive,0,S00.0,0,118,69.366
9,receive,0,S00.0,0,115,67.836
9,receive,0,S00.0,0,112,67.836
9,receive,0,S00.0,0,5,69.366
9,receive,0,S00.0,0,48,100
9,receive,0,S00.0,0,109,51.655
9,receive,0,S00.0,0,104,51.655
9,receive,0,S00.0,0,100,67.836
9,send,115,S47.1,57,0,67.836
9,send,5,S10.1,2,0,69.366
9,send,109,S31.1,54,0,51.655
9,send,112,S36.0,56,0,67.836
9,send,48,S08.0,24,0,100
9,send,118,S41.0,59,0,69.366
9,send,100,S38.0,50,0,67.836
9,send,104,S30.0,52,0,51.655
10,trace_offer,109,S31.1,54,0,100
10,trace_offer,104,S30.0,52,0,100
10,trace_offer,5,S10.1,2,0,100
10,trace_offer,115,S47.1,57,0,100
10,trace_offer,100,S38.0,50,0,100
10,trace_offer,112,S36.0,56,0,100
10,trace_offer,118,S41.0,59,0,100
10,trace_offer,48,S08.0,24,0,100
10,receive,0,S00.0,0,115,67.836
10,receive,0,S00.0,0,48,100
10,receive,0,S00.0,0,100,67.836
10,receive,0,S00.0,0,112,67.836
10,receive,0,S00.0,0,109,51.655
10,receive,0,S00.0,0,5,69.366
10,receive,0,S00.0,0,118,69.366
10,receive,0,S00.0,0,104,51.655
10,send,112,S36.0,56,0,67.836
10,send,115,S47.1,57,0,67.836
10,send,118,S41.0,59,0,69.366
10,send,5,S10.1,2,0,69.366
10,send,109,S31.1,54,0,51.655
10,send,100,S38.0,50,0,67.836
10,send,48,S08.0,24,0,100
10,send,104,S30.0,52,0,51.655
11,trace_offer,112,S36.0,56,0,100
11,trace_offer,5,S10.1,2,0,100
11,trace_offer,109,S31.1,54,0,100
11,trace_offer,104,S30.0,52,0,100
11,trace_offer,118,S41.0,59,0,100
11,trace_offer,115,S47.1,57,0,100
11,trace_offer,100,S38.0,50,0,100
11,trace_offer,48,S08.0,24,0,100
11,receive,0,S00.0,0,104,51.655
11,receive,0,S00.0,0,115,67.836
11,receive,0,S00.0,0,118,69.366
11,receive,0,S00.0,0,5,69.366
11,receive,0,S00.0,0,112,67.836
11,receive,0,S00.0,0,100,67.836
11,receive,0,S00.0,0,109,51.655
11,receive,0,S00.0,0,48,100
11,send,109,S31.1,54,0,51.655
11,send,115,S47.1,57,0,67.836
11,send,118,S41.0,59,0,69.366
11,send,48,S08.0,24,0,100
11,send,112,S36.0,56,0,67.836
11,send,100,S38.0,50,0,67.836
11,send,5,S10.1,2,0,69.366
11,send,104,S30.0,52,0,51.655
12,trace_offer,5,S10.1,2,0,100
12,trace_offer,100,S38.0,50,0,100
12,trace_offer,118,S41.0,59,0,100
12,trace_offer,48,S08.0,24,0,100
12,trace_offer,112,S36.0,56,0,100
12,trace_offer,109,S31.1,54,0,100
12,trace_offer,115,S47.1,57,0,100
12,trace_offer,104,S30.0,52,0,100
12,receive,0,S00.0,0,104,51.655
12,receive,0,S00.0,0,48,100
12,receive,0,S00.0,0,5,69.366
12,receive,0,S00.0,0,109,51.655
12,receive,0,S00.0,0,112,67.836
12,receive,0,S00.0,0,115,67.836
12,receive,0,S00.0,0,118,69.366
12,receive,0,S00.0,0,100,67.836
12,send,112,S36.0,56,0,67.836
12,send,104,S30.0,52,0,51.655
12,send,48,S08.0,24,0,100
12,send,5,S10.1,2,0,69.366
12,send,109,S31.1,54,0,51.655
12,send,100,S38.0,50,0,67.836
12,send,115,S47.1,57,0,67.836
12,send,118,S41.0,59,0,69.366
13,trace_offer,109,S31.1,54,0,100
13,trace_offer,104,S30.0,52,0,100
13,trace_offer,118,S41.0,59,0,100
13,trace_offer,5,S10.1,2,0,100
13,trace_offer,100,S38.0,50,0,100
13,trace_offer,115,S47.1,57,0,100
13,trace_offer,48,S08.0,24,0,100
13,trace_offer,112,S36.0,56,0,100
13,receive,0,S00.0,0,118,69.366
13,receive,0,S00.0,0,112,67.836
13,receive,0,S00.0,0,48,100
13,receive,0,S00.0,0,109,51.655
13,receive,0,S00.0,0,115,67.836
13,receive,0,S00.0,0,5,69.366
13,receive,0,S00.0,0,100,67.836
13,receive,0,S00.0,0,104,51.655
13,send,100,S38.0,50,0,67.836
13,send,48,S08.0,24,0,100
13,send,118,S41.0,59,0,69.366
13,send,115,S47.1,57,0,67.836
13,send,5,S10.1,2,0,69.366
13,send,109,S31.1,54,0,51.655
13,send,104,S30.0,52,0,51.655
13,send,112,S36.0,56,0,67.836
14,trace_offer,112,S36.0,56,0,100
14,trace_offer,109,S31.1,54,0,100
14,trace_offer,100,S38.0,50,0,100
14,trace_offer,115,S47.1,57,0,100
14,trace_offer,48,S08.0,24,0,100
14,trace_offer,118,S41.0,59,0,100
14,trace_offer,104,S30.0,52,0,100
14,trace_offer,5,S10.1,2,0,100
14,receive,0,S00.0,0,100,67.836
14,receive,0,S00.0,0,118,69.366
14,receive,0,S00.0,0,115,67.836
14,receive,0,S00.0,0,48,100
14,receive,0,S00.0,0,112,67.836
14,receive,0,S00.0,0,5,69.366
14,receive,0,S00.0,0,104,51.655
14,receive,0,S00.0,0,109,51.655
14,send,112,S36.0,56,0,67.836
14,send,104,S30.0,52,0,51.655
14,send,5,S10.1,2,0,69.366
14,send,118,S41.0,59,0,69.366
14,send,100,S38.0,50,0,67.836
14,send,48,S08.0,24,0,100
14,send,115,S47.1,57,0,67.836
14,send,109,S31.1,54,0,51.655
15,trace_offer,112,S36.0,56,0,100
15,trace_offer,5,S10.1,2,0,100
15,trace_offer,104,S30.0,52,0,100
15,trace_offer,48,S08.0,24,0,100
15,trace_offer,115,S47.1,57,0,100
15,trace_offer,118,S41.0,59,0,100
15,trace_offer,109,S31.1,54,0,100
15,trace_offer,100,S38.0,50,0,100
15,receive,0,S00.0,0,100,67.836
15,receive,0,S00.0,0,115,67.836
15,receive,0,S00.0,0,118,69.366
15,receive,0,S00.0,0,112,67.836
15,receive,0,S00.0,0,109,51.655
15,receive,0,S00.0,0,104,51.655
15,receive,0,S00.0,0,48,100
15,receive,0,S00.0,0,5,69.366
15,send,100,S38.0,50,0,67.836
15,send,48,S08.0,24,0,100
15,send,104,S30.0,52,0,51.655
15,send,109,S31.1,54,0,51.655
15,send,112,S36.0,56,0,67.836
15,send,5,S10.1,2,0,69.366
15,send,118,S41.0,59,0,69.366
15,send,115,S47.1,57,0,67.836
16,trace_offer,104,S30.0,52,0,100
16,trace_offer,112,S36.0,56,0,100
16,trace_offer,100,S38.0,50,0,100
16,trace_offer,118,S41.0,59,0,100
16,trace_offer,5,S10.1,2,0,100
16,trace_offer,109,S31.1,54,0,100
16,trace_offer,48,S08.0,24,0,100
16,trace_offer,115,S47.1,57,0,100
16,receive,0,S00.0,0,5,69.366
16,receive,0,S00.0,0,112,67.836
16,receive,0,S00.0,0,109,51.655
16,receive,0,S00.0,0,104,51.655
16,receive,0,S00.0,0,48,100
16,receive,0,S00.0,0,115,67.836
16,receive,0,S00.0,0,118,69.366
16,receive,0,S00.0,0,100,67.836
16,send,48,S08.0,24,0,100
16,send,109,S31.1,54,0,51.655
16,send,115,S47.1,57,0,67.836
16,send,118,S41.0,59,0,69.366
16,send,104,S30.0,52,0,51.655
16,send,5,S10.1,2,0,69.366
16,send,112,S36.0,56,0,67.836
