interval,event,terminal,terminal_name,attached_switch,peer_terminal,mbit
0,trace_offer,0,VLAN4012.0,0,2,2680.06
0,send,0,VLAN4012.0,0,2,2680.06
1,trace_offer,0,VLAN4012.0,0,2,2680.06
1,send,0,VLAN4012.0,0,2,2680.06
2,trace_offer,0,VLAN4012.0,0,2,2680.06
2,send,0,VLAN4012.0,0,2,2680.06
3,trace_offer,0,VLAN4012.0,0,2,2680.06
3,send,0,VLAN4012.0,0,2,2680.06
4,trace_offer,0,VLAN4012.0,0,2,2680.06
4,send,0,VLAN4012.0,0,2,2680.06
5,trace_offer,0,VLAN4012.0,0,2,2680.06
2,receive,2,VLAN4012.2,0,0,2680.06
2,receive,2,VLAN4012.2,0,0,2680.06
2,receive,2,VLAN4012.2,0,0,2680.06
2,receive,2,VLAN4012.2,0,0,2680.06
5,send,0,VLAN4012.0,0,2,2680.06
6,trace_offer,0,VLAN4012.0,0,2,2680.06
3,receive,2,VLAN4012.2,0,0,2680.06
6,send,0,VLAN4012.0,0,2,2680.06
7,trace_offer,0,VLAN4012.0,0,2,2680.06
4,receive,2,VLAN4012.2,0,0,2680.06
7,send,0,VLAN4012.0,0,2,2680.06
8,trace_offer,0,VLAN4012.0,0,2,2680.06
5,receive,2,VLAN4012.2,0,0,2680.06
5,receive,2,VLAN4012.2,0,0,2680.06
8,send,0,VLAN4012.0,0,2,2680.06
9,trace_offer,0,VLAN4012.0,0,2,2680.06
6,receive,2,VLAN4012.2,0,0,2680.06
9,send,0,VLAN4012.0,0,2,2680.06
10,trace_offer,0,VLAN4012.0,0,2,2748.78
7,receive,2,VLAN4012.2,0,0,2680.06
10,send,0,VLAN4012.0,0,2,2748.78
11,trace_offer,0,VLAN4012.0,0,2,2748.78
8,receive,2,VLAN4012.2,0,0,2748.78
11,send,0,VLAN4012.0,0,2,2748.78
12,trace_offer,0,VLAN4012.0,0,2,2748.78
12,send,0,VLAN4012.0,0,2,2748.78
13,trace_offer,0,VLAN4012.0,0,2,2748.78
10,receive,2,VLAN4012.2,0,0,2748.78
13,send,0,VLAN4012.0,0,2,2748.78
14,trace_offer,0,VLAN4012.0,0,2,2748.78
11,receive,2,VLAN4012.2,0,0,2748.78
14,send,0,VLAN4012.0,0,2,2748.78
15,trace_offer,0,VLAN4012.0,0,2,2748.78
12,receive,2,VLAN4012.2,0,0,2748.78
12,receive,2,VLAN4012.2,0,0,2748.78
15,send,0,VLAN4012.0,0,2,2748.78
16,trace_offer,0,VLAN4012.0,0,2,2748.78
13,receive,2,VLAN4012.2,0,0,2748.78
16,send,0,VLAN4012.0,0,2,2748.78
17,trace_offer,0,VLAN4012.0,0,2,2748.78
17,send,0,VLAN4012.0,0,2,2748.78
18,trace_offer,0,VLAN4012.0,0,2,2748.78
15,receive,2,VLAN4012.2,0,0,2748.78
15,receive,2,VLAN4012.2,0,0,2748.78
18,send,0,VLAN4012.0,0,2,2748.78
19,trace_offer,0,VLAN4012.0,0,2,2748.78
16,receive,2,VLAN4012.2,0,0,2748.78
19,send,0,VLAN4012.0,0,2,2748.78
20,trace_offer,0,VLAN4012.0,0,2,2748.78
20,trace_offer,4,LBNL_VLAN3002.0,1,6,22.817
20,send,0,VLAN4012.0,0,2,2748.78
20,send,4,LBNL_VLAN3002.0,1,6,22.817
21,trace_offer,0,VLAN4012.0,0,2,2748.78
21,trace_offer,4,LBNL_VLAN3002.0,1,6,22.817
18,receive,2,VLAN4012.2,0,0,2748.78
18,receive,2,VLAN4012.2,0,0,2748.78
21,send,4,LBNL_VLAN3002.0,1,6,22.817
21,send,0,VLAN4012.0,0,2,2748.78
22,trace_offer,0,VLAN4012.0,0,2,2748.78
22,trace_offer,4,LBNL_VLAN3002.0,1,6,22.817
22,send,0,VLAN4012.0,0,2,2748.78
22,send,4,LBNL_VLAN3002.0,1,6,22.817
23,trace_offer,4,LBNL_VLAN3002.0,1,6,22.817
23,trace_offer,0,VLAN4012.0,0,2,2748.78
20,receive,2,VLAN4012.2,0,0,2748.78
23,send,4,LBNL_VLAN3002.0,1,6,22.817
23,send,0,VLAN4012.0,0,2,2748.78
24,trace_offer,4,LBNL_VLAN3002.0,1,6,22.817
24,trace_offer,0,VLAN4012.0,0,2,2748.78
21,receive,2,VLAN4012.2,0,0,2748.78
24,send,0,VLAN4012.0,0,2,2748.78
24,send,4,LBNL_VLAN3002.0,1,6,22.817
25,trace_offer,0,VLAN4012.0,0,2,2748.78
25,trace_offer,4,LBNL_VLAN3002.0,1,6,22.817
22,receive,2,VLAN4012.2,0,0,2748.78
25,send,0,VLAN4012.0,0,2,2748.78
25,send,4,LBNL_VLAN3002.0,1,6,22.817
26,trace_offer,0,VLAN4012.0,0,2,2748.78
26,trace_offer,4,LBNL_VLAN3002.0,1,6,22.817
23,receive,2,VLAN4012.2,0,0,2748.78
26,send,4,LBNL_VLAN3002.0,1,6,22.817
26,send,0,VLAN4012.0,0,2,2748.78
27,trace_offer,4,LBNL_VLAN3002.0,1,6,22.817
27,trace_offer,0,VLAN4012.0,0,2,2748.78
24,receive,6,LBNL_VLAN3001.0,3,4,91.2681
24,receive,2,VLAN4012.2,0,0,2748.78
24,receive,2,VLAN4012.2,0,0,2748.78
27,send,0,VLAN4012.0,0,2,2748.78
27,send,4,LBNL_VLAN3002.0,1,6,22.817
28,trace_offer,4,LBNL_VLAN3002.0,1,6,22.817
28,trace_offer,0,VLAN4012.0,0,2,2748.78
25,receive,6,LBNL_VLAN3001.0,3,4,45.634
28,send,4,LBNL_VLAN3002.0,1,6,22.817
28,send,0,VLAN4012.0,0,2,2748.78
29,trace_offer,0,VLAN4012.0,0,2,2748.78
