interval,flow_id,source_terminal,destination_terminal,offered_gbit
0,6001,5,7,0.028689039
1,6001,5,7,0.028689039
2,6001,5,7,0.028689039
3,6001,5,7,0.028689039
4,6001,5,7,0.028689039
5,6001,5,7,0.028689039
6,6001,5,7,0.028689039
7,6001,5,7,0.028689039
8,6001,5,7,0.028689039
9,6001,5,7,0.028689039
10,6001,5,7,0.024830280
11,6001,5,7,0.024830280
12,6001,5,7,0.024830280
13,6001,5,7,0.024830280
14,6001,5,7,0.024830280
15,6001,5,7,0.024830280
16,6001,5,7,0.024830280
17,6001,5,7,0.024830280
18,6001,5,7,0.024830280
19,6001,5,7,0.024830280
20,6001,5,7,0.031121736
21,6001,5,7,0.031121736
22,6001,5,7,0.031121736
23,6001,5,7,0.031121736
24,6001,5,7,0.031121736
25,6001,5,7,0.031121736
26,6001,5,7,0.031121736
27,6001,5,7,0.031121736
28,6001,5,7,0.031121736
29,6001,5,7,0.031121736
30,6001,5,7,0.024662508
31,6001,5,7,0.024662508
32,6001,5,7,0.024662508
33,6001,5,7,0.024662508
34,6001,5,7,0.024662508
35,6001,5,7,0.024662508
36,6001,5,7,0.024662508
37,6001,5,7,0.024662508
38,6001,5,7,0.024662508
39,6001,5,7,0.024662508
40,6001,5,7,0.031373394
41,6001,5,7,0.031373394
42,6001,5,7,0.031373394
43,6001,5,7,0.031373394
44,6001,5,7,0.031373394
45,6001,5,7,0.031373394
46,6001,5,7,0.031373394
47,6001,5,7,0.031373394
48,6001,5,7,0.031373394
49,6001,5,7,0.031373394
50,6001,5,7,0.024746394
51,6001,5,7,0.024746394
52,6001,5,7,0.024746394
53,6001,5,7,0.024746394
54,6001,5,7,0.024746394
55,6001,5,7,0.024746394
56,6001,5,7,0.024746394
57,6001,5,7,0.024746394
58,6001,5,7,0.024746394
59,6001,5,7,0.024746394
60,6001,5,7,0.030953964
61,6001,5,7,0.030953964
62,6001,5,7,0.030953964
63,6001,5,7,0.030953964
64,6001,5,7,0.030953964
65,6001,5,7,0.030953964
66,6001,5,7,0.030953964
67,6001,5,7,0.030953964
68,6001,5,7,0.030953964
69,6001,5,7,0.030953964
70,6001,5,7,0.031037850
71,6001,5,7,0.031037850
72,6001,5,7,0.031037850
73,6001,5,7,0.031037850
74,6001,5,7,0.031037850
75,6001,5,7,0.031037850
76,6001,5,7,0.031037850
77,6001,5,7,0.031037850
78,6001,5,7,0.031037850
79,6001,5,7,0.031037850
80,6001,5,7,0.024830280
81,6001,5,7,0.024830280
82,6001,5,7,0.024830280
83,6001,5,7,0.024830280
84,6001,5,7,0.024830280
85,6001,5,7,0.024830280
86,6001,5,7,0.024830280
87,6001,5,7,0.024830280
88,6001,5,7,0.024830280
89,6001,5,7,0.024830280
90,6001,5,7,0.031121736
91,6001,5,7,0.031121736
92,6001,5,7,0.031121736
93,6001,5,7,0.031121736
94,6001,5,7,0.031121736
95,6001,5,7,0.031121736
96,6001,5,7,0.031121736
97,6001,5,7,0.031121736
98,6001,5,7,0.031121736
99,6001,5,7,0.031121736
100,6001,5,7,0.025081938
101,6001,5,7,0.025081938
102,6001,5,7,0.025081938
103,6001,5,7,0.025081938
104,6001,5,7,0.025081938
105,6001,5,7,0.025081938
106,6001,5,7,0.025081938
107,6001,5,7,0.025081938
108,6001,5,7,0.025081938
109,6001,5,7,0.025081938
110,6001,5,7,0.025333596
111,6001,5,7,0.025333596
112,6001,5,7,0.025333596
113,6001,5,7,0.025333596
114,6001,5,7,0.025333596
115,6001,5,7,0.025333596
116,6001,5,7,0.025333596
117,6001,5,7,0.025333596
118,6001,5,7,0.025333596
119,6001,5,7,0.025333596
120,6001,5,7,0.030870077
121,6001,5,7,0.030870077
122,6001,5,7,0.030870077
123,6001,5,7,0.030870077
124,6001,5,7,0.030870077
125,6001,5,7,0.030870077
126,6001,5,7,0.030870077
127,6001,5,7,0.030870077
128,6001,5,7,0.030870077
129,6001,5,7,0.030870077
130,6001,5,7,0.030870077
131,6001,5,7,0.030870077
132,6001,5,7,0.030870077
133,6001,5,7,0.030870077
134,6001,5,7,0.030870077
135,6001,5,7,0.030870077
136,6001,5,7,0.030870077
137,6001,5,7,0.030870077
