interval,event,switch,switch_name,port,target_type,target_index,capacity_gbit,queued_before_gbit,sent_gbit,queued_after_gbit,shared_queued_before_gbit,shared_queued_after_gbit,shared_buffer_gbit,dropped_gbit,active_queue_entries
1,egress,5,S63,0,switch,0,259.679,0,63.0837,0,0,0,100,0,0
1,egress,47,S25,2,switch,4,166.312,0,41.566,0,0,0,100,0,0
1,egress,48,S50,3,switch,10,118.54,0,40.9907,0,0,0,100,0,0
1,egress,27,S09,0,switch,24,129.629,0,41.4382,0,0,0,100,0,0
1,egress,61,S46,1,switch,57,199.213,0,41.9487,0,0,0,100,0,0
1,egress,56,S36,2,switch,4,112.305,0,41.565,0,0,0,100,0,0
1,egress,29,S13,5,switch,31,131.191,0,63.625,0,0,0,100,0,0
1,egress,50,S38,2,switch,4,290.506,0,41.565,0,0,0,100,0,0
1,egress,24,S08,0,switch,22,182.424,0,41.058,0,0,0,100,0,0
1,egress,20,S15,4,switch,32,143.593,0,127.252,0,0,0,100,0,0
1,egress,57,S47,1,switch,50,259.289,0,41.7568,0,0,0,100,0,0
1,egress,60,S44,0,switch,18,203.923,0,41.3422,0,0,0,100,0,0
1,egress,15,S05,0,switch,12,134.869,0,41.3721,0,0,0,100,0,0
1,egress,21,S53,2,switch,8,135.597,0,81.9815,0,0,0,100,0,0
2,egress,5,S63,0,switch,0,259.679,0,62.5,0,0,0,100,0,0
2,egress,47,S25,2,switch,4,166.312,0,40.7016,0,0,0,100,0,0
2,egress,61,S46,1,switch,57,199.213,0,40.7016,0,0,0,100,0,0
2,egress,24,S08,0,switch,22,182.424,0,81.1479,0,0,0,100,0,0
2,egress,4,S37,0,switch,0,203.508,0,124.696,0,0,0,100,0,0
2,egress,29,S13,5,switch,31,131.191,0,62.5,0,0,0,100,0,0
2,egress,0,S00,5,terminal,0,1000,0,63.0837,0,0,0,100,0,0
2,egress,57,S47,1,switch,50,259.289,0,82.6503,0,0,0,100,0,0
2,egress,21,S53,2,switch,8,135.597,0,79.864,0,0,0,100,0,0
2,egress,15,S05,0,switch,12,134.869,0,39.932,0,0,0,100,0,0
2,egress,60,S44,0,switch,18,203.923,0,39.7097,0,0,0,100,0,0
2,egress,32,S21,1,switch,43,261.425,0,127.252,0,0,0,100,0,0
2,egress,18,S43,0,switch,38,157.659,0,41.3422,0,0,0,100,0,0
2,egress,48,S50,3,switch,10,118.54,0,39.932,0,0,0,100,0,0
2,egress,27,S09,0,switch,24,129.629,0,39.7097,0,0,0,100,0,0
2,egress,12,S04,0,switch,6,184.169,0,41.3721,0,0,0,100,0,0
2,egress,50,S38,2,switch,4,290.506,0,82.4584,0,0,0,100,0,0
2,egress,22,S07,3,switch,26,124.406,0,41.058,0,0,0,100,0,0
2,egress,8,S52,0,switch,1,255.562,0,81.9815,0,0,0,100,0,0
2,egress,20,S15,4,switch,32,143.593,0,125,0,0,0,100,0,0
2,egress,56,S36,2,switch,4,112.305,0,40.7016,0,0,0,100,0,0
2,egress,10,S61,0,switch,1,227.172,0,40.9907,0,0,0,100,0,0
2,egress,31,S62,3,switch,5,238.676,0,63.625,0,0,0,100,0,0
3,egress,50,S38,2,switch,4,290.506,0,123.352,0,0,0,100,0,0
3,egress,8,S52,0,switch,1,255.562,0,79.864,0,0,0,100,0,0
3,egress,6,S02,0,switch,1,138.732,0,41.3721,0,0,0,100,0,0
3,egress,5,S63,0,switch,0,259.679,0,126.125,0,0,0,100,0,0
3,egress,47,S25,2,switch,4,166.312,0,40.7016,0,0,0,100,0,0
3,egress,48,S50,3,switch,10,118.54,0,39.932,0,0,0,100,0,0
3,egress,24,S08,0,switch,22,182.424,0,79.4193,0,0,0,100,0,0
3,egress,32,S21,1,switch,43,261.425,0,125,0,0,0,100,0,0
3,egress,60,S44,0,switch,18,203.923,0,39.7097,0,0,0,100,0,0
3,egress,10,S61,0,switch,1,227.172,0,39.932,0,0,0,100,0,0
3,egress,57,S47,1,switch,50,259.289,0,81.4032,0,0,0,100,0,0
3,egress,22,S07,3,switch,26,124.406,0,81.1479,0,0,0,100,0,0
3,egress,56,S36,2,switch,4,112.305,0,40.7016,0,0,0,100,0,0
3,egress,38,S42,0,switch,42,176.64,0,41.3422,0,0,0,100,0,0
3,egress,27,S09,0,switch,24,129.629,0,39.7097,0,0,0,100,0,0
3,egress,26,S33,0,switch,3,174.708,0,41.058,0,0,0,100,0,0
3,egress,21,S53,2,switch,8,135.597,0,79.864,0,0,0,100,0,0
3,egress,18,S43,0,switch,38,157.659,0,39.7097,0,0,0,100,0,0
3,egress,1,S01,0,switch,0,159.728,0,122.972,0,0,0,100,0,0
3,egress,4,S37,0,switch,0,203.508,0,163.862,0,0,0,100,0,0
3,egress,43,S22,0,switch,0,203.304,0,127.252,0,0,0,100,0,0
3,egress,12,S04,0,switch,6,184.169,0,39.932,0,0,0,100,0,0
3,egress,29,S13,5,switch,31,131.191,0,62.5,0,0,0,100,0,0
3,egress,61,S46,1,switch,57,199.213,0,40.7016,0,0,0,100,0,0
3,egress,15,S05,0,switch,12,134.869,0,39.932,0,0,0,100,0,0
3,egress,0,S00,5,terminal,0,1000,0,187.196,0,0,0,100,0,0
3,egress,31,S62,3,switch,5,238.676,0,62.5,0,0,0,100,0,0
3,egress,20,S15,4,switch,32,143.593,0,125,0,0,0,100,0,0
4,egress,10,S61,0,switch,1,227.172,0,39.932,0,0,0,100,0,0
4,egress,31,S62,3,switch,5,238.676,0,62.5,0,0,0,100,0,0
4,egress,47,S25,2,switch,4,166.312,0,40.7016,0,0,0,100,0,0
4,egress,0,S00,5,terminal,0,1000,0,540.211,0,0,0,100,0,0
4,egress,57,S47,1,switch,50,259.289,0,81.4032,0,0,0,100,0,0
4,egress,12,S04,0,switch,6,184.169,0,39.932,0,0,0,100,0,0
4,egress,26,S33,0,switch,3,174.708,0,81.1479,0,0,0,100,0,0
4,egress,3,S27,0,switch,0,119.129,0,41.058,0,0,0,100,0,0
4,egress,8,S52,0,switch,1,255.562,0,79.864,0,0,0,100,0,0
4,egress,43,S22,0,switch,0,203.304,0,125,0,0,0,100,0,0
4,egress,4,S37,0,switch,0,203.508,0,203.508,1.24709,0,1.24709,100,0,1
4,egress,15,S05,0,switch,12,134.869,0,39.932,0,0,0,100,0,0
4,egress,6,S02,0,switch,1,138.732,0,39.932,0,0,0,100,0,0
4,egress,56,S36,2,switch,4,112.305,0,40.7016,0,0,0,100,0,0
4,egress,21,S53,2,switch,8,135.597,0,79.864,0,0,0,100,0,0
4,egress,42,S20,2,switch,3,251.806,0,41.3422,0,0,0,100,0,0
4,egress,27,S09,0,switch,24,129.629,0,39.7097,0,0,0,100,0,0
4,egress,22,S07,3,switch,26,124.406,0,79.4193,0,0,0,100,0,0
4,egress,38,S42,0,switch,42,176.64,0,39.7097,0,0,0,100,0,0
4,egress,1,S01,0,switch,0,159.728,0,159.728,1.4401,0,1.4401,100,0,1
4,egress,5,S63,0,switch,0,259.679,0,125,0,0,0,100,0,0
4,egress,32,S21,1,switch,43,261.425,0,125,0,0,0,100,0,0
4,egress,24,S08,0,switch,22,182.424,0,79.4193,0,0,0,100,0,0
4,egress,18,S43,0,switch,38,157.659,0,39.7097,0,0,0,100,0,0
4,egress,48,S50,3,switch,10,118.54,0,39.932,0,0,0,100,0,0
4,egress,20,S15,4,switch,32,143.593,0,125,0,0,0,100,0,0
