interval,flow_id,source_terminal,destination_terminal,offered_gbit
0,8001,0,2,2.680059593
1,8001,0,2,2.680059593
2,8001,0,2,2.680059593
3,8001,0,2,2.680059593
4,8001,0,2,2.680059593
5,8001,0,2,2.680059593
6,8001,0,2,2.680059593
7,8001,0,2,2.680059593
8,8001,0,2,2.680059593
9,8001,0,2,2.680059593
10,8001,0,2,2.748779069
11,8001,0,2,2.748779069
12,8001,0,2,2.748779069
13,8001,0,2,2.748779069
14,8001,0,2,2.748779069
15,8001,0,2,2.748779069
16,8001,0,2,2.748779069
17,8001,0,2,2.748779069
18,8001,0,2,2.748779069
19,8001,0,2,2.748779069
20,8001,0,2,2.748779069
20,8002,4,6,0.022817014
21,8001,0,2,2.748779069
21,8002,4,6,0.022817014
22,8001,0,2,2.748779069
22,8002,4,6,0.022817014
23,8001,0,2,2.748779069
23,8002,4,6,0.022817014
24,8001,0,2,2.748779069
24,8002,4,6,0.022817014
25,8001,0,2,2.748779069
25,8002,4,6,0.022817014
26,8001,0,2,2.748779069
26,8002,4,6,0.022817014
27,8001,0,2,2.748779069
27,8002,4,6,0.022817014
28,8001,0,2,2.748779069
28,8002,4,6,0.022817014
29,8001,0,2,2.748779069
29,8002,4,6,0.022817014
30,8001,0,2,2.860448219
30,8002,4,6,0.036406559
31,8001,0,2,2.860448219
31,8002,4,6,0.036406559
32,8001,0,2,2.860448219
32,8002,4,6,0.036406559
33,8001,0,2,2.860448219
33,8002,4,6,0.036406559
34,8001,0,2,2.860448219
34,8002,4,6,0.036406559
35,8001,0,2,2.860448219
35,8002,4,6,0.036406559
36,8001,0,2,2.860448219
36,8002,4,6,0.036406559
37,8001,0,2,2.860448219
37,8002,4,6,0.036406559
38,8001,0,2,2.860448219
38,8002,4,6,0.036406559
39,8001,0,2,2.860448219
39,8002,4,6,0.036406559
40,8001,0,2,2.869038154
40,8002,4,6,0.036154900
40,8003,5,7,0.022481469
41,8001,0,2,2.869038154
41,8002,4,6,0.036154900
41,8003,5,7,0.022481469
42,8001,0,2,2.869038154
42,8002,4,6,0.036154900
42,8003,5,7,0.022481469
43,8001,0,2,2.869038154
43,8002,4,6,0.036154900
43,8003,5,7,0.022481469
44,8001,0,2,2.869038154
44,8002,4,6,0.036154900
44,8003,5,7,0.022481469
45,8001,0,2,2.869038154
45,8002,4,6,0.036154900
45,8003,5,7,0.022481469
46,8001,0,2,2.869038154
46,8002,4,6,0.036154900
46,8003,5,7,0.022481469
47,8001,0,2,2.869038154
47,8002,4,6,0.036154900
47,8003,5,7,0.022481469
48,8001,0,2,2.869038154
48,8002,4,6,0.036154900
48,8003,5,7,0.022481469
49,8001,0,2,2.869038154
49,8002,4,6,0.036154900
49,8003,5,7,0.022481469
50,8001,0,2,2.851858285
50,8002,4,6,0.036993761
50,8003,5,7,0.031037850
51,8001,0,2,2.851858285
51,8002,4,6,0.036993761
51,8003,5,7,0.031037850
52,8001,0,2,2.851858285
52,8002,4,6,0.036993761
52,8003,5,7,0.031037850
53,8001,0,2,2.851858285
53,8002,4,6,0.036993761
53,8003,5,7,0.031037850
54,8001,0,2,2.851858285
54,8002,4,6,0.036993761
54,8003,5,7,0.031037850
55,8001,0,2,2.851858285
55,8002,4,6,0.036993761
55,8003,5,7,0.031037850
56,8001,0,2,2.851858285
56,8002,4,6,0.036993761
56,8003,5,7,0.031037850
57,8001,0,2,2.851858285
57,8002,4,6,0.036993761
57,8003,5,7,0.031037850
58,8001,0,2,2.851858285
58,8002,4,6,0.036993761
58,8003,5,7,0.031037850
59,8001,0,2,2.851858285
59,8002,4,6,0.036993761
59,8003,5,7,0.031037850
60,8001,0,2,2.834678415
60,8002,4,6,0.034393293
60,8003,5,7,0.024998052
61,8001,0,2,2.834678415
61,8002,4,6,0.034393293
61,8003,5,7,0.024998052
62,8001,0,2,2.834678415
62,8002,4,6,0.034393293
62,8003,5,7,0.024998052
63,8001,0,2,2.834678415
63,8002,4,6,0.034393293
63,8003,5,7,0.024998052
64,8001,0,2,2.834678415
64,8002,4,6,0.034393293
64,8003,5,7,0.024998052
65,8001,0,2,2.834678415
65,8002,4,6,0.034393293
65,8003,5,7,0.024998052
66,8001,0,2,2.834678415
66,8002,4,6,0.034393293
66,8003,5,7,0.024998052
67,8001,0,2,2.834678415
67,8002,4,6,0.034393293
67,8003,5,7,0.024998052
68,8001,0,2,2.834678415
68,8002,4,6,0.034393293
68,8003,5,7,0.024998052
69,8001,0,2,2.834678415
69,8002,4,6,0.034393293
69,8003,5,7,0.024998052
70,8001,0,2,2.869038154
70,8002,4,6,0.036406559
70,8003,5,7,0.031121736
71,8001,0,2,2.869038154
71,8002,4,6,0.036406559
71,8003,5,7,0.031121736
72,8001,0,2,2.869038154
