scenario,treatment,n,delivered_goodput_gbps_mean,delivered_goodput_gbps_ci95_low,delivered_goodput_gbps_ci95_high,delivery_fraction_mean,delivery_fraction_ci95_low,delivery_fraction_ci95_high,drop_fraction_mean,drop_fraction_ci95_low,drop_fraction_ci95_high,source_backlog_fraction_mean,source_backlog_fraction_ci95_low,source_backlog_fraction_ci95_high,qdrain_p95_sec_mean,qdrain_p95_sec_ci95_low,qdrain_p95_sec_ci95_high,terminal_pause_time_ms_mean,terminal_pause_time_ms_ci95_low,terminal_pause_time_ms_ci95_high,switch_output_pause_time_ms_mean,switch_output_pause_time_ms_ci95_low,switch_output_pause_time_ms_ci95_high,source_terminal_jain_mean,source_terminal_jain_ci95_low,source_terminal_jain_ci95_high
A-load,load-high,10,744.3034770899998,744.3034770899998,744.3034770899998,0.38951078646369663,0.38951078646369663,0.38951078646369663,0.36308959842959176,0.36308959842959176,0.36308959842959176,0.21496591162418593,0.21496591162418593,0.21496591162418593,8.340283569641368,8.340283569641368,8.340283569641368,4258050.0,4258050.0,4258050.0,6431048.0,6431048.0,6431048.0,0.9289467344918872,0.9289467344918872,0.9289467344918872
A-load,load-low,10,175.449750535,175.449750535,175.449750535,0.6163777844318354,0.6163777844318354,0.6163777844318354,0.3836222155066848,0.3836222155066848,0.3836222155066848,0.0,0.0,0.0,8.937934893574983,8.937934893574983,8.937934893574983,1551450.0,1551450.0,1551450.0,1810900.0,1810900.0,1810900.0,0.9384538871456694,0.9384538871456694,0.9384538871456694
A-load,load-medium,10,385.2001975649999,385.2001975649999,385.2001975649999,0.539657604360134,0.539657604360134,0.539657604360134,0.44817905059116686,0.44817905059116686,0.44817905059116686,0.008411033394647017,0.008411033394647017,0.008411033394647017,8.512544513355373,8.512544513355373,8.512544513355373,2721500.0,2721500.0,2721500.0,4074448.0,4074448.0,4074448.0,0.9445152831795831,0.9445152831795831,0.9445152831795831
B-buffer-pause,buffer100Gb-aggressive,10,635.5168039925001,635.5168039925001,635.5168039925001,0.33258026833600496,0.33258026833600496,0.33258026833600496,0.38963383785951944,0.38963383785951944,0.38963383785951944,0.24568471702090147,0.24568471702090147,0.24568471702090147,8.456016032606398,8.456016032606398,8.456016032606398,7895832.0,7895832.0,7895832.0,11919120.0,11919120.0,11919120.0,0.8971375427724999,0.8971375427724999,0.8971375427724999
B-buffer-pause,buffer100Gb-moderate,10,744.3034770899998,744.3034770899998,744.3034770899998,0.38951078646369663,0.38951078646369663,0.38951078646369663,0.36308959842959176,0.36308959842959176,0.36308959842959176,0.21496591162418593,0.21496591162418593,0.21496591162418593,8.340283569641368,8.340283569641368,8.340283569641368,4258050.0,4258050.0,4258050.0,6431048.0,6431048.0,6431048.0,0.9289467344918872,0.9289467344918872,0.9289467344918872
B-buffer-pause,buffer25Gb-aggressive,10,697.2050167224999,697.2050167224999,697.2050167224999,0.3648631005349691,0.3648631005349691,0.3648631005349691,0.3812439991486906,0.3812439991486906,0.3812439991486906,0.2207985601080731,0.2207985601080731,0.2207985601080731,2.160517832914193,2.160517832914193,2.160517832914193,5040550.0,5040550.0,5040550.0,7283348.0,7283348.0,7283348.0,0.9355456665023315,0.9355456665023315,0.9355456665023315
B-buffer-pause,buffer25Gb-moderate,10,700.379057385,700.379057385,700.379057385,0.3665241475578204,0.3665241475578204,0.3665241475578204,0.38124959281118603,0.38124959281118603,0.38124959281118603,0.2194491708678957,0.2194491708678957,0.2194491708678957,2.1140040081515994,2.1140040081515994,2.1140040081515994,4789450.0,4789450.0,4789450.0,6113800.0,6113800.0,6113800.0,0.9337274888956808,0.9337274888956808,0.9337274888956808
B-buffer-pause,buffer400Gb-aggressive,10,402.9304046525001,402.9304046525001,402.9304046525001,0.21086256296953082,0.21086256296953082,0.21086256296953082,0.3520954995978591,0.3520954995978591,0.3520954995978591,0.39779566752994,0.39779566752994,0.39779566752994,29.735362485844284,29.735362485844284,29.735362485844284,22011480.0,22011480.0,22011480.0,24140596.0,24140596.0,24140596.0,0.6993848684048192,0.6993848684048192,0.6993848684048192
B-buffer-pause,buffer400Gb-moderate,10,760.7569774750003,760.7569774750003,760.7569774750003,0.39812127408374487,0.39812127408374487,0.39812127408374487,0.3097015341969999,0.3097015341969999,0.3097015341969999,0.2470810163794362,0.2470810163794362,0.2470810163794362,25.982931777036825,25.982931777036825,25.982931777036825,6279892.0,6279892.0,6279892.0,8274678.0,8274678.0,8274678.0,0.901834248613163,0.901834248613163,0.901834248613163
C-incast,incast-16,10,64.535983151,61.277319782,67.6369031145,0.8066997893875,0.765966497275,0.84546128893125,0.04793500030625,0.042359192984375,0.052951870909375,0.101479852171875,0.07018130105,0.13757040649062502,8.868441341602214,8.274388592100015,9.422536394233187,23065.0,11395.0,35735.0,958186.6,786157.0,1112312.6,0.9519107547970451,0.9308944700296575,0.9706021309381632
