interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
4,allocate_send_arrival,3,S27,0,switch,0,50940,66,0,0,4,119.129,0,31.775,55.579,0
4,enqueue_residual,3,S27,0,switch,0,50940,66,0,0,4,119.129,0,0,55.579,0
4,allocate_send_arrival,3,S27,0,switch,0,50946,44,0,0,4,119.129,0,31.775,55.579,0
4,enqueue_residual,3,S27,0,switch,0,50946,44,0,0,4,119.129,0,0,44.421,0
4,drop_shared_buffer_overflow,3,S27,0,switch,0,50946,44,0,0,4,119.129,0,0,0,11.158
4,enqueue_residual,11,S03,0,switch,6,50943,23,0,0,4,132.338,0,0,53.333,0
4,allocate_send_arrival,54,S31,1,switch,37,50942,105,0,0,4,242.335,0,100,0,0
4,allocate_send_arrival,6,S02,0,switch,1,50943,23,0,0,4,138.732,92.2627,69.706,0,0
4,allocate_send_arrival,6,S02,0,switch,1,50947,12,0,0,4,138.732,92.2627,53.3297,0,0
4,allocate_send_arrival,1,S01,0,switch,0,50943,23,0,0,4,159.728,0,19.9093,49.4567,0
4,enqueue_residual,1,S01,0,switch,0,50943,23,0,0,4,159.728,0,0,49.4567,0
4,allocate_send_arrival,1,S01,0,switch,0,50944,19,0,0,4,159.728,0,19.9093,61.1181,0
4,enqueue_residual,1,S01,0,switch,0,50944,19,0,0,4,159.728,0,0,50.5433,0
4,drop_shared_buffer_overflow,1,S01,0,switch,0,50944,19,0,0,4,159.728,0,0,0,10.5748
4,allocate_send_arrival,1,S01,0,switch,0,50947,12,0,0,4,159.728,0,19.9093,49.4567,0
4,drop_shared_buffer_overflow,1,S01,0,switch,0,50947,12,0,0,4,159.728,0,0,0,49.4567
4,allocate_send_arrival,0,S00,5,terminal,0,50944,19,0,0,4,1000,0,59.9547,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,50942,105,0,0,4,1000,0,2.20667,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,50943,23,0,0,4,1000,0,39.8187,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,50946,44,0,0,4,1000,0,59.5645,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,50947,12,0,0,4,1000,0,59.9547,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,50940,66,0,0,4,1000,0,59.5645,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,50945,70,0,0,4,1000,0,50.5517,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,50941,110,0,0,4,1000,0,50.5517,0,0
5,allocate_send_buffered,1,S01,0,switch,0,50943,23,0,0,5,159.728,100,49.4567,0,0
5,allocate_send_buffered,1,S01,0,switch,0,50944,19,0,0,5,159.728,100,50.5433,0,0
5,allocate_send_buffered,3,S27,0,switch,0,50940,66,0,0,5,119.129,100,55.579,0,0
5,allocate_send_buffered,3,S27,0,switch,0,50946,44,0,0,5,119.129,100,44.421,0,0
5,allocate_send_buffered,6,S02,0,switch,1,50947,12,0,0,5,138.732,92.2627,30.9947,0,0
5,allocate_send_buffered,6,S02,0,switch,1,50943,23,0,0,5,138.732,92.2627,61.268,0,0
5,allocate_send_buffered,37,S32,0,switch,0,50945,70,0,0,5,103.31,100,51.6059,0,0
5,allocate_send_buffered,37,S32,0,switch,0,50941,110,0,0,5,103.31,100,48.3941,0,0
5,stage_arrival,3,S27,0,switch,0,50940,66,0,0,5,119.129,0,0,25.292,0
5,stage_arrival,37,S32,0,switch,0,50941,110,0,0,5,103.31,0,0,34.5296,0
5,stage_arrival,0,S00,5,terminal,0,50943,23,0,0,5,1000,0,0,29.5473,0
5,stage_arrival,0,S00,5,terminal,0,50947,12,0,0,5,1000,0,0,29.5473,0
5,stage_arrival,0,S00,5,terminal,0,50946,44,0,0,5,1000,0,0,31.775,0
5,stage_arrival,0,S00,5,terminal,0,50945,70,0,0,5,1000,0,0,97.7933,0
5,stage_arrival,0,S00,5,terminal,0,50944,19,0,0,5,1000,0,0,40.9053,0
5,stage_arrival,9,S59,0,switch,1,50944,19,0,0,5,295.318,0,0,53.2427,0
5,stage_arrival,1,S01,0,switch,0,50943,23,0,0,5,159.728,0,0,69.706,0
5,stage_arrival,0,S00,5,terminal,0,50940,66,0,0,5,1000,0,0,27.7895,0
5,stage_arrival_coalesce,3,S27,0,switch,0,50940,66,0,0,5,119.129,0,0,87.354,0
5,stage_arrival,0,S00,5,terminal,0,50941,110,0,0,5,1000,0,0,1.10333,0
