interval,event,terminal,terminal_name,attached_switch,peer_terminal,mbit
265,trace_offer,0,VLAN4012.0,0,1,3058.02
262,receive,1,VLAN4012.1,0,0,3058.02
262,receive,1,VLAN4012.1,0,0,3058.02
265,send,0,VLAN4012.0,0,1,3058.02
266,trace_offer,0,VLAN4012.0,0,1,3058.02
263,receive,1,VLAN4012.1,0,0,3058.02
266,send,0,VLAN4012.0,0,1,3058.02
267,trace_offer,0,VLAN4012.0,0,1,3058.02
267,send,0,VLAN4012.0,0,1,3058.02
268,trace_offer,0,VLAN4012.0,0,1,3058.02
265,receive,1,VLAN4012.1,0,0,3058.02
265,receive,1,VLAN4012.1,0,0,3058.02
268,send,0,VLAN4012.0,0,1,3058.02
269,trace_offer,0,VLAN4012.0,0,1,3058.02
269,send,0,VLAN4012.0,0,1,3058.02
270,trace_offer,0,VLAN4012.0,0,1,3058.02
267,receive,1,VLAN4012.1,0,0,3058.02
267,receive,1,VLAN4012.1,0,0,3058.02
270,send,0,VLAN4012.0,0,1,3058.02
271,trace_offer,0,VLAN4012.0,0,1,3058.02
268,receive,1,VLAN4012.1,0,0,3058.02
271,send,0,VLAN4012.0,0,1,3058.02
272,trace_offer,0,VLAN4012.0,0,1,3058.02
269,receive,1,VLAN4012.1,0,0,3058.02
272,send,0,VLAN4012.0,0,1,3058.02
273,trace_offer,0,VLAN4012.0,0,1,3058.02
270,receive,1,VLAN4012.1,0,0,3058.02
273,send,0,VLAN4012.0,0,1,3058.02
274,trace_offer,0,VLAN4012.0,0,1,3058.02
271,receive,1,VLAN4012.1,0,0,3058.02
274,send,0,VLAN4012.0,0,1,3058.02
275,trace_offer,0,VLAN4012.0,0,1,3058.02
272,receive,1,VLAN4012.1,0,0,3058.02
275,send,0,VLAN4012.0,0,1,3058.02
276,trace_offer,0,VLAN4012.0,0,1,3058.02
273,receive,1,VLAN4012.1,0,0,3058.02
276,send,0,VLAN4012.0,0,1,3058.02
277,trace_offer,0,VLAN4012.0,0,1,3058.02
277,send,0,VLAN4012.0,0,1,3058.02
278,trace_offer,0,VLAN4012.0,0,1,3058.02
275,receive,1,VLAN4012.1,0,0,3058.02
275,receive,1,VLAN4012.1,0,0,3058.02
278,send,0,VLAN4012.0,0,1,3058.02
279,trace_offer,0,VLAN4012.0,0,1,3058.02
276,receive,1,VLAN4012.1,0,0,3058.02
279,send,0,VLAN4012.0,0,1,3058.02
280,trace_offer,0,VLAN4012.0,0,1,2989.3
277,receive,1,VLAN4012.1,0,0,3058.02
280,send,0,VLAN4012.0,0,1,2989.3
281,trace_offer,0,VLAN4012.0,0,1,2989.3
278,receive,1,VLAN4012.1,0,0,2989.3
281,send,0,VLAN4012.0,0,1,2989.3
282,trace_offer,0,VLAN4012.0,0,1,2989.3
279,receive,1,VLAN4012.1,0,0,2989.3
282,send,0,VLAN4012.0,0,1,2989.3
283,trace_offer,0,VLAN4012.0,0,1,2989.3
280,receive,1,VLAN4012.1,0,0,2989.3
283,send,0,VLAN4012.0,0,1,2989.3
284,trace_offer,0,VLAN4012.0,0,1,2989.3
284,send,0,VLAN4012.0,0,1,2989.3
285,trace_offer,0,VLAN4012.0,0,1,2989.3
282,receive,1,VLAN4012.1,0,0,2989.3
282,receive,1,VLAN4012.1,0,0,2989.3
285,send,0,VLAN4012.0,0,1,2989.3
286,trace_offer,0,VLAN4012.0,0,1,2989.3
283,receive,1,VLAN4012.1,0,0,2989.3
286,send,0,VLAN4012.0,0,1,2989.3
287,trace_offer,0,VLAN4012.0,0,1,2989.3
287,send,0,VLAN4012.0,0,1,2989.3
288,trace_offer,0,VLAN4012.0,0,1,2989.3
285,receive,1,VLAN4012.1,0,0,2989.3
285,receive,1,VLAN4012.1,0,0,2989.3
288,send,0,VLAN4012.0,0,1,2989.3
289,trace_offer,0,VLAN4012.0,0,1,2989.3
289,send,0,VLAN4012.0,0,1,2989.3
290,trace_offer,0,VLAN4012.0,0,1,3006.48
287,receive,1,VLAN4012.1,0,0,2989.3
287,receive,1,VLAN4012.1,0,0,2989.3
290,send,0,VLAN4012.0,0,1,3006.48
291,trace_offer,0,VLAN4012.0,0,1,3006.48
288,receive,1,VLAN4012.1,0,0,3006.48
291,send,0,VLAN4012.0,0,1,3006.48
292,trace_offer,0,VLAN4012.0,0,1,3006.48
289,receive,1,VLAN4012.1,0,0,3006.48
292,send,0,VLAN4012.0,0,1,3006.48
293,trace_offer,0,VLAN4012.0,0,1,3006.48
290,receive,1,VLAN4012.1,0,0,3006.48
293,send,0,VLAN4012.0,0,1,3006.48
294,trace_offer,0,VLAN4012.0,0,1,3006.48
294,send,0,VLAN4012.0,0,1,3006.48
295,trace_offer,0,VLAN4012.0,0,1,3006.48
292,receive,1,VLAN4012.1,0,0,3006.48
292,receive,1,VLAN4012.1,0,0,3006.48
295,send,0,VLAN4012.0,0,1,3006.48
296,trace_offer,0,VLAN4012.0,0,1,3006.48
293,receive,1,VLAN4012.1,0,0,3006.48
296,send,0,VLAN4012.0,0,1,3006.48
297,trace_offer,0,VLAN4012.0,0,1,3006.48
297,send,0,VLAN4012.0,0,1,3006.48
