interval,event,switch,switch_name,port,target_type,target_index,flowlet_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
27,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,27,10,0,0,3.27277,0
23,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,23,10,0,3.27277,0,0
28,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,28,10,0,0,3.27277,0
25,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,25,10,0,3.27277,0,0
29,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,29,10,0,0,3.27277,0
26,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,26,10,0,3.27277,0,0
30,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,30,10,0,0,3.27277,0
31,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,31,10,0,0,3.27277,0
27,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,27,10,0,3.27277,0,0
27,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,27,10,0,3.27277,0,0
32,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,32,10,0,0,3.27277,0
28,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,28,10,0,3.27277,0,0
33,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,33,10,0,0,3.27277,0
30,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,30,10,0,3.27277,0,0
34,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,34,10,0,0,3.27277,0
35,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,35,10,0,0,3.27277,0
31,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,31,10,0,3.27277,0,0
31,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,31,10,0,3.27277,0,0
36,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,36,10,0,0,3.27277,0
37,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,37,10,0,0,3.27277,0
33,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,33,10,0,3.27277,0,0
33,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,33,10,0,3.27277,0,0
38,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,38,10,0,0,3.27277,0
35,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,35,10,0,3.27277,0,0
39,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,39,10,0,0,3.27277,0
40,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,40,10,0,0,3.27277,0
36,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,36,10,0,3.27277,0,0
36,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,36,10,0,3.27277,0,0
41,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,41,10,0,0,3.247,0
38,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,38,10,0,3.247,0,0
42,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,42,10,0,0,3.247,0
43,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,43,10,0,0,3.247,0
39,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,39,10,0,3.247,0,0
39,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,39,10,0,3.247,0,0
44,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,44,10,0,0,3.247,0
45,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,45,10,0,0,3.247,0
41,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,41,10,0,3.247,0,0
41,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,41,10,0,3.247,0,0
46,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,46,10,0,0,3.247,0
43,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,43,10,0,3.247,0,0
47,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,47,10,0,0,3.247,0
44,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,44,10,0,3.247,0,0
48,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,48,10,0,0,3.247,0
45,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,45,10,0,3.247,0,0
49,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,49,10,0,0,3.247,0
50,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,50,10,0,0,3.247,0
46,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,46,10,0,3.247,0,0
46,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,46,10,0,3.247,0,0
51,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,51,10,0,0,3.20405,0
48,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,48,10,0,3.20405,0,0
52,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,52,10,0,0,3.20405,0
49,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,49,10,0,3.20405,0,0
53,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,53,10,0,0,3.20405,0
50,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,50,10,0,3.20405,0,0
54,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,54,10,0,0,3.20405,0
55,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,55,10,0,0,3.20405,0
51,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,51,10,0,3.20405,0,0
51,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,51,10,0,3.20405,0,0
56,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,56,10,0,0,3.20405,0
57,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,57,10,0,0,3.20405,0
53,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,53,10,0,3.20405,0,0
53,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,53,10,0,3.20405,0,0
58,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,58,10,0,0,3.20405,0
55,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,55,10,0,3.20405,0,0
59,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,59,10,0,0,3.20405,0
60,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,60,10,0,0,3.20405,0
56,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,56,10,0,3.20405,0,0
56,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,56,10,0,3.20405,0,0
61,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,61,10,0,0,3.19546,0
58,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,58,10,0,3.19546,0,0
62,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,62,10,0,0,3.19546,0
59,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,59,10,0,3.19546,0,0
63,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,63,10,0,0,3.19546,0
60,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,60,10,0,3.19546,0,0
64,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,64,10,0,0,3.19546,0
65,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,65,10,0,0,3.19546,0
61,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,61,10,0,3.19546,0,0
61,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,61,10,0,3.19546,0,0
66,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,66,10,0,0,3.19546,0
