flow_id,label,start_seconds,offered_total_gbit,received_total_gbit,relative_volume_difference_pct,client_peer,server_peer,server_time
7001,LBNL1->LBNL2 vlan4012,0,8949.595153,8950.368247,0.008638,10.10.2.42,10.10.2.62,"Fri, 07 Jun 2024 21:55:56 GMT"
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,3,84.694742,84.564718,-0.153520,10.33.1.27,10.33.2.26,"Fri, 07 Jun 2024 21:55:59 GMT"
