interval,event,switch,switch_name,port,target_type,target_index,flowlet_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,0,3.22982,0
2,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,2,10,0,0,3.22982,0
3,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,3,10,0,0,3.22982,0
4,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,4,10,0,0,3.22982,0
5,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,5,10,0,0,3.22982,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,2,1.22982,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,0,1.22982,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,2,1.22982,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,0,1.22982,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,2,1.22982,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,0,1.22982,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,2,1.22982,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,0,1.22982,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,2,1.22982,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,7001,0,1,0,1,10,0,0,1.22982,0
2,allocate_send_buffered,0,VLAN4012,1,terminal,1,7001,0,1,0,2,10,6.14908,6.14908,0,0
6,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,6,10,0,0,3.22982,0
3,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,3,10,0,3.22982,0,0
7,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,7,10,0,0,3.22982,0
8,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,8,10,0,0,3.22982,0
4,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,4,10,0,3.22982,0,0
4,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,4,10,0,3.22982,0,0
9,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,9,10,0,0,3.22982,0
5,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,5,10,0,3.22982,0,0
10,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,10,10,0,0,3.22982,0
6,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,6,10,0,3.22982,0,0
11,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,11,10,0,0,3.20405,0
8,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,8,10,0,3.20405,0,0
12,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,12,10,0,0,3.20405,0
9,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,9,10,0,3.20405,0,0
13,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,13,10,0,0,3.20405,0
14,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,14,10,0,0,3.20405,0
10,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,10,10,0,3.20405,0,0
10,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,10,10,0,3.20405,0,0
15,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,15,10,0,0,3.20405,0
11,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,11,10,0,3.20405,0,0
16,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,16,10,0,0,3.20405,0
12,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,12,10,0,3.20405,0,0
17,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,17,10,0,0,3.20405,0
18,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,18,10,0,0,3.20405,0
14,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,14,10,0,3.20405,0,0
14,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,14,10,0,3.20405,0,0
19,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,19,10,0,0,3.20405,0
15,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,15,10,0,3.20405,0,0
20,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,20,10,0,0,3.20405,0
16,allocate_send_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,16,10,0,3.20405,0,0
21,stage_arrival,0,VLAN4012,1,terminal,1,7001,0,1,0,21,10,0,0,3.1611,0
