interval,event,terminal,terminal_name,attached_switch,peer_terminal,mbit
0,trace_offer,0,VLAN4012.0,0,1,3229.82
0,send,0,VLAN4012.0,0,1,3229.82
1,trace_offer,0,VLAN4012.0,0,1,3229.82
1,send,0,VLAN4012.0,0,1,3229.82
2,trace_offer,0,VLAN4012.0,0,1,3229.82
2,send,0,VLAN4012.0,0,1,3229.82
3,trace_offer,0,VLAN4012.0,0,1,3229.82
3,send,0,VLAN4012.0,0,1,3229.82
4,trace_offer,0,VLAN4012.0,0,1,3229.82
4,send,0,VLAN4012.0,0,1,3229.82
5,trace_offer,0,VLAN4012.0,0,1,3229.82
2,receive,1,VLAN4012.1,0,0,3229.82
2,receive,1,VLAN4012.1,0,0,3229.82
2,receive,1,VLAN4012.1,0,0,3229.82
2,receive,1,VLAN4012.1,0,0,3229.82
5,send,0,VLAN4012.0,0,1,3229.82
6,trace_offer,0,VLAN4012.0,0,1,3229.82
3,receive,1,VLAN4012.1,0,0,3229.82
6,send,0,VLAN4012.0,0,1,3229.82
7,trace_offer,0,VLAN4012.0,0,1,3229.82
4,receive,1,VLAN4012.1,0,0,3229.82
7,send,0,VLAN4012.0,0,1,3229.82
8,trace_offer,0,VLAN4012.0,0,1,3229.82
5,receive,1,VLAN4012.1,0,0,3229.82
5,receive,1,VLAN4012.1,0,0,3229.82
8,send,0,VLAN4012.0,0,1,3229.82
9,trace_offer,0,VLAN4012.0,0,1,3229.82
6,receive,1,VLAN4012.1,0,0,3229.82
9,send,0,VLAN4012.0,0,1,3229.82
10,trace_offer,0,VLAN4012.0,0,1,3204.05
7,receive,1,VLAN4012.1,0,0,3229.82
10,send,0,VLAN4012.0,0,1,3204.05
11,trace_offer,0,VLAN4012.0,0,1,3204.05
8,receive,1,VLAN4012.1,0,0,3204.05
11,send,0,VLAN4012.0,0,1,3204.05
12,trace_offer,0,VLAN4012.0,0,1,3204.05
12,send,0,VLAN4012.0,0,1,3204.05
13,trace_offer,0,VLAN4012.0,0,1,3204.05
10,receive,1,VLAN4012.1,0,0,3204.05
13,send,0,VLAN4012.0,0,1,3204.05
14,trace_offer,0,VLAN4012.0,0,1,3204.05
11,receive,1,VLAN4012.1,0,0,3204.05
14,send,0,VLAN4012.0,0,1,3204.05
15,trace_offer,0,VLAN4012.0,0,1,3204.05
12,receive,1,VLAN4012.1,0,0,3204.05
12,receive,1,VLAN4012.1,0,0,3204.05
15,send,0,VLAN4012.0,0,1,3204.05
16,trace_offer,0,VLAN4012.0,0,1,3204.05
13,receive,1,VLAN4012.1,0,0,3204.05
16,send,0,VLAN4012.0,0,1,3204.05
17,trace_offer,0,VLAN4012.0,0,1,3204.05
17,send,0,VLAN4012.0,0,1,3204.05
18,trace_offer,0,VLAN4012.0,0,1,3204.05
15,receive,1,VLAN4012.1,0,0,3204.05
15,receive,1,VLAN4012.1,0,0,3204.05
18,send,0,VLAN4012.0,0,1,3204.05
19,trace_offer,0,VLAN4012.0,0,1,3204.05
16,receive,1,VLAN4012.1,0,0,3204.05
19,send,0,VLAN4012.0,0,1,3204.05
20,trace_offer,0,VLAN4012.0,0,1,3161.1
20,send,0,VLAN4012.0,0,1,3161.1
21,trace_offer,0,VLAN4012.0,0,1,3161.1
18,receive,1,VLAN4012.1,0,0,3204.05
18,receive,1,VLAN4012.1,0,0,3161.1
21,send,0,VLAN4012.0,0,1,3161.1
22,trace_offer,0,VLAN4012.0,0,1,3161.1
