point,model,n,hosts,target_gbit,runtime_sec_mean,runtime_sec_std,net_events_mean,net_events_std,net_event_rate_per_sec_mean,net_event_rate_per_sec_std,events_per_simulated_gbit_mean,events_per_simulated_gbit_std,simulated_gbit_per_wall_sec_mean,simulated_gbit_per_wall_sec_std,peak_rss_kb_mean,peak_rss_kb_std
small,fluid,3,1056,2.214592512,0.1597,0.00010000000000000286,48576.0,0.0,304170.39885770966,190.46365591069258,21934.50927734375,0.0,13.867207832722684,0.00868328775914072,12931845.333333334,122.6594200758072
small,packet,3,1056,2.214592512,124.27506666666666,0.2789073203294112,124889416.0,0.0,1004946.8364273353,2253.9408199494887,56393858.158227175,0.0,0.017820146896275545,3.9967842129642745e-05,9511230.666666666,84.88423489278402
medium,fluid,3,1056,4.429185024,0.15936666666666666,0.000950438495292209,48576.0,0.0,304813.7558194376,1818.4646342227027,10967.254638671875,0.0,27.793077288880223,0.1658085541125835,12931888.0,99.51884243699783
medium,packet,3,1056,4.429185024,252.24236666666667,1.1011045787450537,249788683.0,0.0,990285.1164197945,4329.897179020649,56396082.26942294,0.0,0.017559466483662314,7.677655973220282e-05,12225372.0,72.77362159464101
large,fluid,3,1056,8.858370048,0.15956666666666666,0.00041633319989322736,48576.0,0.0,304425.86615012866,795.1880829744298,5483.6273193359375,0.0,55.51541861291083,0.14501132857269364,12931924.0,82.07313811473277
large,packet,3,1056,8.858370048,507.0040333333333,1.3135982122907128,499587122.0,0.0,985375.5152238676,2556.2235814436203,56397183.60070027,0.0,0.017472069566460274,4.5325376521318034e-05,17664268.0,94.31860898041276
