point,target_gbit,fluid_runtime_mean_sec,packet_runtime_mean_sec,fluid_gbit_per_wall_sec,packet_gbit_per_wall_sec,fluid_events_per_gbit,packet_events_per_gbit,data_rate_ratio_fluid_over_packet,event_granularity_ratio_packet_over_fluid
small,2.214592512,0.1597,124.27506666666666,13.867207832722684,0.017820146896275545,21934.50927734375,56393858.158227175,778.1758429623812,2571.0107048748355
medium,4.429185024,0.15936666666666666,252.24236666666667,27.793077288880223,0.017559466483662314,10967.254638671875,56396082.26942294,1582.7973654404288,5142.224205368907
large,8.858370048,0.15956666666666666,507.0040333333333,55.51541861291083,0.017472069566460274,5483.6273193359375,56397183.60070027,3177.380813517324,10284.649250658762
