interval,flow_id,source_terminal,destination_terminal,offered_gbit
0,2001,0,1,3.350074491
1,2001,0,1,3.350074491
2,2001,0,1,3.350074491
3,2001,0,1,3.350074491
4,2001,0,1,3.350074491
5,2001,0,1,3.350074491
6,2001,0,1,3.350074491
7,2001,0,1,3.350074491
8,2001,0,1,3.350074491
9,2001,0,1,3.350074491
10,2001,0,1,3.289944949
11,2001,0,1,3.289944949
12,2001,0,1,3.289944949
13,2001,0,1,3.289944949
14,2001,0,1,3.289944949
15,2001,0,1,3.289944949
16,2001,0,1,3.289944949
17,2001,0,1,3.289944949
18,2001,0,1,3.289944949
19,2001,0,1,3.289944949
20,2001,0,1,3.272765080
21,2001,0,1,3.272765080
22,2001,0,1,3.272765080
23,2001,0,1,3.272765080
24,2001,0,1,3.272765080
25,2001,0,1,3.272765080
26,2001,0,1,3.272765080
27,2001,0,1,3.272765080
28,2001,0,1,3.272765080
29,2001,0,1,3.272765080
30,2001,0,1,3.272765080
31,2001,0,1,3.272765080
32,2001,0,1,3.272765080
33,2001,0,1,3.272765080
34,2001,0,1,3.272765080
35,2001,0,1,3.272765080
36,2001,0,1,3.272765080
37,2001,0,1,3.272765080
38,2001,0,1,3.272765080
39,2001,0,1,3.272765080
40,2001,0,1,3.246995276
41,2001,0,1,3.246995276
42,2001,0,1,3.246995276
43,2001,0,1,3.246995276
44,2001,0,1,3.246995276
45,2001,0,1,3.246995276
46,2001,0,1,3.246995276
47,2001,0,1,3.246995276
48,2001,0,1,3.246995276
49,2001,0,1,3.246995276
50,2001,0,1,3.204045603
51,2001,0,1,3.204045603
52,2001,0,1,3.204045603
53,2001,0,1,3.204045603
54,2001,0,1,3.204045603
55,2001,0,1,3.204045603
56,2001,0,1,3.204045603
57,2001,0,1,3.204045603
58,2001,0,1,3.204045603
59,2001,0,1,3.204045603
60,2001,0,1,3.195455668
61,2001,0,1,3.195455668
62,2001,0,1,3.195455668
63,2001,0,1,3.195455668
64,2001,0,1,3.195455668
65,2001,0,1,3.195455668
66,2001,0,1,3.195455668
67,2001,0,1,3.195455668
68,2001,0,1,3.195455668
69,2001,0,1,3.195455668
70,2001,0,1,3.178275799
71,2001,0,1,3.178275799
72,2001,0,1,3.178275799
73,2001,0,1,3.178275799
74,2001,0,1,3.178275799
75,2001,0,1,3.178275799
76,2001,0,1,3.178275799
77,2001,0,1,3.178275799
78,2001,0,1,3.178275799
79,2001,0,1,3.178275799
80,2001,0,1,3.161095930
81,2001,0,1,3.161095930
82,2001,0,1,3.161095930
83,2001,0,1,3.161095930
84,2001,0,1,3.161095930
85,2001,0,1,3.161095930
86,2001,0,1,3.161095930
87,2001,0,1,3.161095930
88,2001,0,1,3.161095930
89,2001,0,1,3.161095930
90,2001,0,1,3.169685864
91,2001,0,1,3.169685864
92,2001,0,1,3.169685864
93,2001,0,1,3.169685864
94,2001,0,1,3.169685864
95,2001,0,1,3.169685864
96,2001,0,1,3.169685864
97,2001,0,1,3.169685864
98,2001,0,1,3.169685864
99,2001,0,1,3.169685864
100,2001,0,1,3.143916061
101,2001,0,1,3.143916061
102,2001,0,1,3.143916061
103,2001,0,1,3.143916061
104,2001,0,1,3.143916061
105,2001,0,1,3.143916061
106,2001,0,1,3.143916061
107,2001,0,1,3.143916061
