interval,event,terminal,terminal_name,attached_switch,peer_terminal,mbit
0,trace_offer,1,VLAN4012.1,0,3,3358.66
0,send,1,VLAN4012.1,0,3,3358.66
1,trace_offer,1,VLAN4012.1,0,3,3358.66
1,send,1,VLAN4012.1,0,3,3358.66
2,trace_offer,1,VLAN4012.1,0,3,3358.66
2,receive,3,VLAN4012.3,0,1,3358.66
2,send,1,VLAN4012.1,0,3,3358.66
3,trace_offer,1,VLAN4012.1,0,3,3358.66
3,receive,3,VLAN4012.3,0,1,3358.66
3,send,1,VLAN4012.1,0,3,3358.66
4,trace_offer,1,VLAN4012.1,0,3,3358.66
4,receive,3,VLAN4012.3,0,1,3358.66
4,send,1,VLAN4012.1,0,3,3358.66
5,trace_offer,1,VLAN4012.1,0,3,3358.66
5,receive,3,VLAN4012.3,0,1,3358.66
5,send,1,VLAN4012.1,0,3,3358.66
6,trace_offer,1,VLAN4012.1,0,3,3358.66
6,receive,3,VLAN4012.3,0,1,3358.66
6,send,1,VLAN4012.1,0,3,3358.66
7,trace_offer,1,VLAN4012.1,0,3,3358.66
7,receive,3,VLAN4012.3,0,1,3358.66
7,send,1,VLAN4012.1,0,3,3358.66
8,trace_offer,1,VLAN4012.1,0,3,3358.66
8,receive,3,VLAN4012.3,0,1,3358.66
8,send,1,VLAN4012.1,0,3,3358.66
9,trace_offer,1,VLAN4012.1,0,3,3358.66
9,receive,3,VLAN4012.3,0,1,3358.66
9,send,1,VLAN4012.1,0,3,3358.66
10,trace_offer,1,VLAN4012.1,0,3,3384.43
10,receive,3,VLAN4012.3,0,1,3358.66
10,send,1,VLAN4012.1,0,3,3384.43
11,trace_offer,1,VLAN4012.1,0,3,3384.43
11,receive,3,VLAN4012.3,0,1,3358.66
11,send,1,VLAN4012.1,0,3,3384.43
12,trace_offer,1,VLAN4012.1,0,3,3384.43
12,receive,3,VLAN4012.3,0,1,3384.43
12,send,1,VLAN4012.1,0,3,3384.43
13,trace_offer,1,VLAN4012.1,0,3,3384.43
13,receive,3,VLAN4012.3,0,1,3384.43
13,send,1,VLAN4012.1,0,3,3384.43
14,trace_offer,1,VLAN4012.1,0,3,3384.43
14,receive,3,VLAN4012.3,0,1,3384.43
14,send,1,VLAN4012.1,0,3,3384.43
15,trace_offer,1,VLAN4012.1,0,3,3384.43
15,receive,3,VLAN4012.3,0,1,3384.43
15,send,1,VLAN4012.1,0,3,3384.43
16,trace_offer,1,VLAN4012.1,0,3,3384.43
16,receive,3,VLAN4012.3,0,1,3384.43
16,send,1,VLAN4012.1,0,3,3384.43
