interval,event,switch,switch_name,port,target_type,target_index,capacity_mbit,queued_before_mbit,sent_mbit,queued_after_mbit,shared_queued_before_mbit,shared_queued_after_mbit,shared_buffer_mbit,dropped_mbit,active_queue_entries
1,egress,0,VLAN4012,3,terminal,3,20000,0,16793.3,0,0,0,909.28,0,0
2,egress,0,VLAN4012,3,terminal,3,20000,0,3358.66,0,0,0,909.28,0,0
3,egress,0,VLAN4012,3,terminal,3,20000,0,0,0,0,0,909.28,0,0
4,egress,0,VLAN4012,3,terminal,3,20000,0,6717.33,0,0,0,909.28,0,0
5,egress,0,VLAN4012,3,terminal,3,20000,0,3358.66,0,0,0,909.28,0,0
6,egress,0,VLAN4012,3,terminal,3,20000,0,3358.66,0,0,0,909.28,0,0
7,egress,0,VLAN4012,3,terminal,3,20000,0,3384.43,0,0,0,909.28,0,0
8,egress,0,VLAN4012,3,terminal,3,20000,0,0,0,0,0,909.28,0,0
9,egress,0,VLAN4012,3,terminal,3,20000,0,3384.43,0,0,0,909.28,0,0
10,egress,0,VLAN4012,3,terminal,3,20000,0,3384.43,0,0,0,909.28,0,0
11,egress,0,VLAN4012,3,terminal,3,20000,0,6768.87,0,0,0,909.28,0,0
12,egress,0,VLAN4012,3,terminal,3,20000,0,3384.43,0,0,0,909.28,0,0
13,egress,0,VLAN4012,3,terminal,3,20000,0,0,0,0,0,909.28,0,0
14,egress,0,VLAN4012,3,terminal,3,20000,0,6768.87,0,0,0,909.28,0,0
15,egress,0,VLAN4012,3,terminal,3,20000,0,3384.43,0,0,0,909.28,0,0
16,egress,0,VLAN4012,3,terminal,3,20000,0,3384.43,0,0,0,909.28,0,0
17,egress,0,VLAN4012,3,terminal,3,20000,0,0,0,0,0,909.28,0,0
18,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
19,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
20,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
21,egress,0,VLAN4012,3,terminal,3,20000,0,6700.15,0,0,0,909.28,0,0
22,egress,0,VLAN4012,3,terminal,3,20000,0,0,0,0,0,909.28,0,0
23,egress,0,VLAN4012,3,terminal,3,20000,0,6700.15,0,0,0,909.28,0,0
24,egress,0,VLAN4012,3,terminal,3,20000,0,0,0,0,0,909.28,0,0
25,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
26,egress,0,VLAN4012,3,terminal,3,20000,0,6700.15,0,0,0,909.28,0,0
27,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
28,egress,0,VLAN4012,3,terminal,3,20000,0,0,0,0,0,909.28,0,0
29,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
30,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
31,egress,0,VLAN4012,3,terminal,3,20000,0,6700.15,0,0,0,909.28,0,0
32,egress,0,VLAN4012,3,terminal,3,20000,0,0,0,0,0,909.28,0,0
33,egress,0,VLAN4012,3,terminal,3,20000,0,6700.15,0,0,0,909.28,0,0
34,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
35,egress,0,VLAN4012,3,terminal,3,20000,0,0,0,0,0,909.28,0,0
36,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
37,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
38,egress,0,VLAN4012,3,terminal,3,20000,0,6700.15,0,0,0,909.28,0,0
39,egress,0,VLAN4012,3,terminal,3,20000,0,3350.07,0,0,0,909.28,0,0
