interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,34,S57,2,switch,14,50602,69,0,0,1,113.541,0,0,100,0
1,stage_arrival,29,S13,5,switch,31,50603,58,0,0,1,131.191,0,0,100,0
1,stage_arrival,62,S56,1,switch,34,50601,124,0,0,1,238.377,0,0,100,0
1,stage_arrival,30,S14,2,switch,31,50600,60,0,0,1,290.433,0,0,100,0
1,allocate_send_arrival,34,S57,2,switch,14,50602,69,0,0,1,113.541,0,100,0,0
1,allocate_send_arrival,29,S13,5,switch,31,50603,58,0,0,1,131.191,0,100,0,0
1,allocate_send_arrival,62,S56,1,switch,34,50601,124,0,0,1,238.377,0,100,0,0
1,allocate_send_arrival,30,S14,2,switch,31,50600,60,0,0,1,290.433,0,100,0,0
2,stage_arrival,62,S56,1,switch,34,50601,124,0,0,2,238.377,0,0,100,0
2,stage_arrival,31,S62,3,switch,5,50603,58,0,0,2,238.676,0,0,100,0
2,stage_arrival,34,S57,2,switch,14,50602,69,0,0,2,113.541,0,0,100,0
2,stage_arrival,29,S13,5,switch,31,50603,58,0,0,2,131.191,0,0,100,0
2,stage_arrival,34,S57,2,switch,14,50601,124,0,0,2,113.541,0,0,100,0
2,stage_arrival,31,S62,3,switch,5,50600,60,0,0,2,238.676,0,0,100,0
2,stage_arrival,30,S14,2,switch,31,50600,60,0,0,2,290.433,0,0,100,0
2,stage_arrival,14,S58,4,switch,5,50602,69,0,0,2,193.819,0,0,100,0
2,allocate_send_arrival,14,S58,4,switch,5,50602,69,0,0,2,193.819,0,100,0,0
2,allocate_send_arrival,31,S62,3,switch,5,50603,58,0,0,2,238.676,0,100,0,0
2,allocate_send_arrival,31,S62,3,switch,5,50600,60,0,0,2,238.676,0,100,0,0
2,allocate_send_arrival,30,S14,2,switch,31,50600,60,0,0,2,290.433,0,100,0,0
2,allocate_send_arrival,29,S13,5,switch,31,50603,58,0,0,2,131.191,0,100,0,0
2,allocate_send_arrival,62,S56,1,switch,34,50601,124,0,0,2,238.377,0,100,0,0
2,allocate_send_arrival,34,S57,2,switch,14,50602,69,0,0,2,113.541,0,56.7705,43.2295,0
2,enqueue_residual,34,S57,2,switch,14,50602,69,0,0,2,113.541,0,0,43.2295,0
2,allocate_send_arrival,34,S57,2,switch,14,50601,124,0,0,2,113.541,0,56.7705,43.2295,0
2,enqueue_residual,34,S57,2,switch,14,50601,124,0,0,2,113.541,0,0,43.2295,0
3,allocate_send_buffered,34,S57,2,switch,14,50602,69,0,0,3,113.541,86.459,43.2295,0,0
3,allocate_send_buffered,34,S57,2,switch,14,50601,124,0,0,3,113.541,86.459,43.2295,0,0
3,stage_arrival,5,S63,0,switch,0,50603,58,0,0,3,259.679,0,0,100,0
3,stage_arrival,14,S58,4,switch,5,50602,69,0,0,3,193.819,0,0,56.7705,0
3,stage_arrival,29,S13,5,switch,31,50603,58,0,0,3,131.191,0,0,100,0
3,stage_arrival,62,S56,1,switch,34,50601,124,0,0,3,238.377,0,0,57.7512,0
3,stage_arrival,31,S62,3,switch,5,50600,60,0,0,3,238.676,0,0,100,0
3,stage_arrival,34,S57,2,switch,14,50602,69,0,0,3,113.541,0,0,3.41758,0
3,stage_arrival,5,S63,0,switch,0,50602,69,0,0,3,259.679,0,0,100,0
3,stage_arrival,34,S57,2,switch,14,50601,124,0,0,3,113.541,0,0,100,0
3,stage_arrival,30,S14,2,switch,31,50600,60,0,0,3,290.433,0,0,100,0
3,stage_arrival,14,S58,4,switch,5,50601,124,0,0,3,193.819,0,0,56.7705,0
3,stage_arrival,31,S62,3,switch,5,50603,58,0,0,3,238.676,0,0,100,0
3,stage_arrival,5,S63,0,switch,0,50600,60,0,0,3,259.679,0,0,100,0
3,allocate_send_arrival,5,S63,0,switch,0,50603,58,0,0,3,259.679,0,86.5597,13.4403,0
3,enqueue_residual,5,S63,0,switch,0,50603,58,0,0,3,259.679,0,0,13.4403,0
3,allocate_send_arrival,5,S63,0,switch,0,50602,69,0,0,3,259.679,0,86.5597,13.4403,0
