interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,54,S31,1,switch,37,51753,109,0,0,1,242.335,0,0,100,0
1,stage_arrival,18,S43,0,switch,38,51745,36,0,0,1,157.659,0,0,100,0
1,stage_arrival,61,S46,1,switch,57,51749,122,0,0,1,199.213,0,0,100,0
1,stage_arrival,47,S25,2,switch,4,51744,94,0,0,1,166.312,0,0,100,0
1,stage_arrival,48,S50,3,switch,10,51755,96,0,0,1,118.54,0,0,100,0
1,stage_arrival,16,S11,0,switch,12,51743,32,0,0,1,200.84,0,0,100,0
1,stage_arrival,6,S02,0,switch,1,51742,12,0,0,1,138.732,0,0,100,0
1,stage_arrival,53,S55,1,switch,40,51754,106,0,0,1,298.054,0,0,100,0
1,stage_arrival,0,S00,5,terminal,0,51741,1,0,0,1,1000,0,0,100,0
1,stage_arrival,35,S17,2,switch,37,51750,70,0,0,1,246.878,0,0,100,0
1,stage_arrival,52,S30,2,switch,54,51748,104,0,0,1,164.752,0,0,100,0
1,stage_arrival,18,S43,0,switch,38,51740,37,0,0,1,157.659,0,0,100,0
1,stage_arrival,39,S19,1,switch,42,51746,79,0,0,1,146.524,0,0,100,0
1,stage_arrival,17,S35,1,switch,56,51752,34,0,0,1,252.252,0,0,100,0
1,stage_arrival,35,S17,2,switch,37,51747,71,0,0,1,246.878,0,0,100,0
1,stage_arrival,31,S62,3,switch,5,51751,62,0,0,1,238.676,0,0,100,0
1,allocate_send_arrival,0,S00,5,terminal,0,51741,1,0,0,1,1000,0,100,0,0
1,allocate_send_arrival,61,S46,1,switch,57,51749,122,0,0,1,199.213,0,100,0,0
1,allocate_send_arrival,31,S62,3,switch,5,51751,62,0,0,1,238.676,0,100,0,0
1,allocate_send_arrival,52,S30,2,switch,54,51748,104,0,0,1,164.752,0,100,0,0
