interval,event,terminal,terminal_name,attached_switch,peer_terminal,mbit
0,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
0,send,5,LBNL_VLAN3002.1,1,7,28.689
1,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
1,send,5,LBNL_VLAN3002.1,1,7,28.689
2,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
2,send,5,LBNL_VLAN3002.1,1,7,28.689
3,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
3,send,5,LBNL_VLAN3002.1,1,7,28.689
4,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
4,send,5,LBNL_VLAN3002.1,1,7,28.689
5,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
5,send,5,LBNL_VLAN3002.1,1,7,28.689
6,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
6,send,5,LBNL_VLAN3002.1,1,7,28.689
7,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
4,receive,7,LBNL_VLAN3001.1,3,5,143.445
7,send,5,LBNL_VLAN3002.1,1,7,28.689
8,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
5,receive,7,LBNL_VLAN3001.1,3,5,28.689
8,send,5,LBNL_VLAN3002.1,1,7,28.689
9,trace_offer,5,LBNL_VLAN3002.1,1,7,28.689
9,send,5,LBNL_VLAN3002.1,1,7,28.689
10,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
7,receive,7,LBNL_VLAN3001.1,3,5,28.689
10,send,5,LBNL_VLAN3002.1,1,7,24.8303
11,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
8,receive,7,LBNL_VLAN3001.1,3,5,57.3781
11,send,5,LBNL_VLAN3002.1,1,7,24.8303
12,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
9,receive,7,LBNL_VLAN3001.1,3,5,28.689
12,send,5,LBNL_VLAN3002.1,1,7,24.8303
13,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
10,receive,7,LBNL_VLAN3001.1,3,5,24.8303
13,send,5,LBNL_VLAN3002.1,1,7,24.8303
14,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
14,send,5,LBNL_VLAN3002.1,1,7,24.8303
15,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
12,receive,7,LBNL_VLAN3001.1,3,5,24.8303
15,send,5,LBNL_VLAN3002.1,1,7,24.8303
16,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
13,receive,7,LBNL_VLAN3001.1,3,5,24.8303
16,send,5,LBNL_VLAN3002.1,1,7,24.8303
17,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
14,receive,7,LBNL_VLAN3001.1,3,5,49.6606
17,send,5,LBNL_VLAN3002.1,1,7,24.8303
18,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
15,receive,7,LBNL_VLAN3001.1,3,5,24.8303
18,send,5,LBNL_VLAN3002.1,1,7,24.8303
19,trace_offer,5,LBNL_VLAN3002.1,1,7,24.8303
19,send,5,LBNL_VLAN3002.1,1,7,24.8303
20,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
17,receive,7,LBNL_VLAN3001.1,3,5,49.6606
20,send,5,LBNL_VLAN3002.1,1,7,31.1217
21,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
21,send,5,LBNL_VLAN3002.1,1,7,31.1217
22,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
19,receive,7,LBNL_VLAN3001.1,3,5,24.8303
22,send,5,LBNL_VLAN3002.1,1,7,31.1217
23,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
20,receive,7,LBNL_VLAN3001.1,3,5,55.952
23,send,5,LBNL_VLAN3002.1,1,7,31.1217
24,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
24,send,5,LBNL_VLAN3002.1,1,7,31.1217
25,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
22,receive,7,LBNL_VLAN3001.1,3,5,31.1217
25,send,5,LBNL_VLAN3002.1,1,7,31.1217
26,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
23,receive,7,LBNL_VLAN3001.1,3,5,31.1217
26,send,5,LBNL_VLAN3002.1,1,7,31.1217
27,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
24,receive,7,LBNL_VLAN3001.1,3,5,31.1217
27,send,5,LBNL_VLAN3002.1,1,7,31.1217
28,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
25,receive,7,LBNL_VLAN3001.1,3,5,62.2435
28,send,5,LBNL_VLAN3002.1,1,7,31.1217
29,trace_offer,5,LBNL_VLAN3002.1,1,7,31.1217
29,send,5,LBNL_VLAN3002.1,1,7,31.1217
30,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
27,receive,7,LBNL_VLAN3001.1,3,5,62.2435
30,send,5,LBNL_VLAN3002.1,1,7,24.6625
31,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
31,send,5,LBNL_VLAN3002.1,1,7,24.6625
32,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
29,receive,7,LBNL_VLAN3001.1,3,5,62.2435
32,send,5,LBNL_VLAN3002.1,1,7,24.6625
33,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
33,send,5,LBNL_VLAN3002.1,1,7,24.6625
34,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
31,receive,7,LBNL_VLAN3001.1,3,5,24.6625
34,send,5,LBNL_VLAN3002.1,1,7,24.6625
35,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
32,receive,7,LBNL_VLAN3001.1,3,5,24.6625
35,send,5,LBNL_VLAN3002.1,1,7,24.6625
36,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
33,receive,7,LBNL_VLAN3001.1,3,5,24.6625
36,send,5,LBNL_VLAN3002.1,1,7,24.6625
37,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
34,receive,7,LBNL_VLAN3001.1,3,5,24.6625
37,send,5,LBNL_VLAN3002.1,1,7,24.6625
38,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
35,receive,7,LBNL_VLAN3001.1,3,5,49.325
38,send,5,LBNL_VLAN3002.1,1,7,24.6625
39,trace_offer,5,LBNL_VLAN3002.1,1,7,24.6625
