interval,event,switch,switch_name,port,target_type,target_index,capacity_mbit,queued_before_mbit,sent_mbit,queued_after_mbit,shared_queued_before_mbit,shared_queued_after_mbit,shared_buffer_mbit,dropped_mbit,active_queue_entries
23,egress,2,STARLIGHT,1,switch,3,40000,0,62.2435,0,0,0,909.28,0,0
24,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.2435,0,0,0,909.28,0,0
24,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.2435,0,0,0,909.28,0,0
25,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
25,egress,2,STARLIGHT,1,switch,3,40000,0,62.2435,0,0,0,909.28,0,0
26,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.2435,0,0,0,909.28,0,0
26,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.2435,0,0,0,909.28,0,0
27,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
27,egress,2,STARLIGHT,1,switch,3,40000,0,62.2435,0,0,0,909.28,0,0
28,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.6625,0,0,0,909.28,0,0
28,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.2435,0,0,0,909.28,0,0
29,egress,2,STARLIGHT,1,switch,3,40000,0,24.6625,0,0,0,909.28,0,0
29,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.6625,0,0,0,909.28,0,0
30,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.6625,0,0,0,909.28,0,0
30,egress,2,STARLIGHT,1,switch,3,40000,0,24.6625,0,0,0,909.28,0,0
30,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.6625,0,0,0,909.28,0,0
31,egress,2,STARLIGHT,1,switch,3,40000,0,24.6625,0,0,0,909.28,0,0
31,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.6625,0,0,0,909.28,0,0
31,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.6625,0,0,0,909.28,0,0
32,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.6625,0,0,0,909.28,0,0
32,egress,2,STARLIGHT,1,switch,3,40000,0,24.6625,0,0,0,909.28,0,0
32,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,49.325,0,0,0,909.28,0,0
33,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.6625,0,0,0,909.28,0,0
33,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
33,egress,2,STARLIGHT,1,switch,3,40000,0,49.325,0,0,0,909.28,0,0
34,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.6625,0,0,0,909.28,0,0
34,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,49.325,0,0,0,909.28,0,0
35,egress,2,STARLIGHT,1,switch,3,40000,0,24.6625,0,0,0,909.28,0,0
35,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.6625,0,0,0,909.28,0,0
36,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.6625,0,0,0,909.28,0,0
36,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,49.325,0,0,0,909.28,0,0
36,egress,2,STARLIGHT,1,switch,3,40000,0,24.6625,0,0,0,909.28,0,0
37,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
37,egress,2,STARLIGHT,1,switch,3,40000,0,49.325,0,0,0,909.28,0,0
37,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.6625,0,0,0,909.28,0,0
38,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.3734,0,0,0,909.28,0,0
38,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,49.325,0,0,0,909.28,0,0
39,egress,2,STARLIGHT,1,switch,3,40000,0,31.3734,0,0,0,909.28,0,0
39,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.7468,0,0,0,909.28,0,0
40,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
40,egress,2,STARLIGHT,1,switch,3,40000,0,62.7468,0,0,0,909.28,0,0
40,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.3734,0,0,0,909.28,0,0
41,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.7468,0,0,0,909.28,0,0
41,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.7468,0,0,0,909.28,0,0
42,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
42,egress,2,STARLIGHT,1,switch,3,40000,0,62.7468,0,0,0,909.28,0,0
43,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.3734,0,0,0,909.28,0,0
43,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.7468,0,0,0,909.28,0,0
44,egress,2,STARLIGHT,1,switch,3,40000,0,31.3734,0,0,0,909.28,0,0
44,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.3734,0,0,0,909.28,0,0
45,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.3734,0,0,0,909.28,0,0
45,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.3734,0,0,0,909.28,0,0
45,egress,2,STARLIGHT,1,switch,3,40000,0,31.3734,0,0,0,909.28,0,0
46,egress,2,STARLIGHT,1,switch,3,40000,0,31.3734,0,0,0,909.28,0,0
46,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.3734,0,0,0,909.28,0,0
46,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.7468,0,0,0,909.28,0,0
