flow_id,flow_label,start_seconds,end_seconds,received_gbit
7001,LBNL1->LBNL2 vlan4012,0.00,1.00,32.298154066
7001,LBNL1->LBNL2 vlan4012,1.00,2.00,32.040456028
7001,LBNL1->LBNL2 vlan4012,2.00,3.00,31.525059953
7001,LBNL1->LBNL2 vlan4012,3.00,4.00,32.040456028
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,3.00,4.00,0.113246208
7001,LBNL1->LBNL2 vlan4012,4.00,5.00,31.782757990
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,4.00,5.00,0.286051533
7001,LBNL1->LBNL2 vlan4012,5.00,6.00,31.868657336
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,5.00,6.00,0.273468621
7001,LBNL1->LBNL2 vlan4012,6.00,7.00,31.696858644
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,6.00,7.00,0.288568115
7001,LBNL1->LBNL2 vlan4012,7.00,8.00,31.439160607
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,7.00,8.00,0.281018368
7001,LBNL1->LBNL2 vlan4012,8.00,9.00,31.610959299
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,8.00,9.00,0.276824064
7001,LBNL1->LBNL2 vlan4012,9.00,10.00,31.525059953
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,9.00,10.00,0.288568115
7001,LBNL1->LBNL2 vlan4012,10.00,11.00,31.439160607
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,10.00,11.00,0.280179507
7001,LBNL1->LBNL2 vlan4012,11.00,12.00,31.439160607
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,11.00,12.00,0.277662925
7001,LBNL1->LBNL2 vlan4012,12.00,13.00,31.439160607
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,12.00,13.00,0.286890394
7001,LBNL1->LBNL2 vlan4012,13.00,14.00,31.009663877
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,13.00,14.00,0.280179507
7001,LBNL1->LBNL2 vlan4012,14.00,15.00,30.751965839
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,14.00,15.00,0.278501786
7001,LBNL1->LBNL2 vlan4012,15.00,16.00,30.751965839
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,15.00,16.00,0.285212672
7001,LBNL1->LBNL2 vlan4012,16.00,17.00,30.837865185
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,16.00,17.00,0.278501786
7001,LBNL1->LBNL2 vlan4012,17.00,18.00,30.923764531
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,17.00,18.00,0.281857229
7001,LBNL1->LBNL2 vlan4012,18.00,19.00,30.923764531
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,18.00,19.00,0.284373811
7001,LBNL1->LBNL2 vlan4012,19.00,20.00,31.009663877
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,19.00,20.00,0.280179507
7001,LBNL1->LBNL2 vlan4012,20.00,21.00,31.181462569
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,20.00,21.00,0.281857229
7001,LBNL1->LBNL2 vlan4012,21.00,22.00,30.666066493
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,21.00,22.00,0.284373811
7001,LBNL1->LBNL2 vlan4012,22.00,23.00,30.666066493
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,22.00,23.00,0.281018368
7001,LBNL1->LBNL2 vlan4012,23.00,24.00,30.751965839
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,23.00,24.00,0.281018368
7001,LBNL1->LBNL2 vlan4012,24.00,25.00,30.923764531
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,24.00,25.00,0.285212672
7001,LBNL1->LBNL2 vlan4012,25.00,26.00,30.666066493
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,25.00,26.00,0.281857229
7001,LBNL1->LBNL2 vlan4012,26.00,27.00,30.751965839
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,26.00,27.00,0.280179507
7001,LBNL1->LBNL2 vlan4012,27.00,28.00,30.923764531
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,27.00,28.00,0.284373811
7001,LBNL1->LBNL2 vlan4012,28.00,29.00,30.923764531
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,28.00,29.00,0.284373811
7001,LBNL1->LBNL2 vlan4012,29.00,30.00,30.322469110
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,29.00,30.00,0.276824064
7001,LBNL1->LBNL2 vlan4012,30.00,31.00,30.751965839
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,30.00,31.00,0.286051533
7001,LBNL1->LBNL2 vlan4012,31.00,32.00,30.666066493
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,31.00,32.00,0.280179507
7001,LBNL1->LBNL2 vlan4012,32.00,33.00,30.494267802
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,32.00,33.00,0.280179507
7001,LBNL1->LBNL2 vlan4012,33.00,34.00,30.494267802
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,33.00,34.00,0.286051533
7001,LBNL1->LBNL2 vlan4012,34.00,35.00,30.408368456
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,34.00,35.00,0.281857229
7001,LBNL1->LBNL2 vlan4012,35.00,36.00,30.494267802
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,35.00,36.00,0.277662925
7001,LBNL1->LBNL2 vlan4012,36.00,37.00,30.580167148
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,36.00,37.00,0.286051533
7001,LBNL1->LBNL2 vlan4012,37.00,38.00,30.751965839
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,37.00,38.00,0.281857229
7001,LBNL1->LBNL2 vlan4012,38.00,39.00,30.837865185
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,38.00,39.00,0.276824064
7001,LBNL1->LBNL2 vlan4012,39.00,40.00,30.494267802
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,39.00,40.00,0.288568115
7001,LBNL1->LBNL2 vlan4012,40.00,41.00,30.580167148
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,40.00,41.00,0.281018368
7001,LBNL1->LBNL2 vlan4012,41.00,42.00,30.494267802
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,41.00,42.00,0.277662925
7001,LBNL1->LBNL2 vlan4012,42.00,43.00,30.408368456
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,42.00,43.00,0.286890394
7001,LBNL1->LBNL2 vlan4012,43.00,44.00,30.408368456
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,43.00,44.00,0.281857229
7001,LBNL1->LBNL2 vlan4012,44.00,45.00,30.494267802
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,44.00,45.00,0.277662925
7001,LBNL1->LBNL2 vlan4012,45.00,46.00,30.580167148
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,45.00,46.00,0.288568115
7001,LBNL1->LBNL2 vlan4012,46.00,47.00,30.666066493
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,46.00,47.00,0.281857229
7001,LBNL1->LBNL2 vlan4012,47.00,48.00,30.408368456
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,47.00,48.00,0.277662925
7001,LBNL1->LBNL2 vlan4012,48.00,49.00,30.408368456
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,48.00,49.00,0.288568115
7001,LBNL1->LBNL2 vlan4012,49.00,50.00,30.236569764
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,49.00,50.00,0.276824064
7001,LBNL1->LBNL2 vlan4012,50.00,51.00,30.236569764
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,50.00,51.00,0.281018368
7001,LBNL1->LBNL2 vlan4012,51.00,52.00,30.236569764
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,51.00,52.00,0.289406976
7001,LBNL1->LBNL2 vlan4012,52.00,53.00,30.322469110
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,52.00,53.00,0.275146342
7001,LBNL1->LBNL2 vlan4012,53.00,54.00,30.322469110
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,53.00,54.00,0.284373811
7001,LBNL1->LBNL2 vlan4012,54.00,55.00,30.322469110
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,54.00,55.00,0.286051533
7001,LBNL1->LBNL2 vlan4012,55.00,56.00,30.408368456
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,55.00,56.00,0.273468621
7001,LBNL1->LBNL2 vlan4012,56.00,57.00,29.978871726
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,56.00,57.00,0.286890394
7001,LBNL1->LBNL2 vlan4012,57.00,58.00,29.978871726
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,57.00,58.00,0.288568115
7001,LBNL1->LBNL2 vlan4012,58.00,59.00,29.892972380
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,58.00,59.00,0.275985203
7001,LBNL1->LBNL2 vlan4012,59.00,60.00,29.721173688
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,59.00,60.00,0.285212672
7001,LBNL1->LBNL2 vlan4012,60.00,61.00,29.635274342
7002,STAR1 vlan3002 -> STAR2 vlan3001 via StarLight,60.00,61.00,0.289406976
7001,LBNL1->LBNL2 vlan4012,61.00,62.00,29.807073034
