interval,flow_id,source_terminal,destination_terminal,offered_gbit
0,7001,0,1,3.229815407
1,7001,0,1,3.229815407
2,7001,0,1,3.229815407
3,7001,0,1,3.229815407
4,7001,0,1,3.229815407
5,7001,0,1,3.229815407
6,7001,0,1,3.229815407
7,7001,0,1,3.229815407
8,7001,0,1,3.229815407
9,7001,0,1,3.229815407
10,7001,0,1,3.204045603
11,7001,0,1,3.204045603
12,7001,0,1,3.204045603
13,7001,0,1,3.204045603
14,7001,0,1,3.204045603
15,7001,0,1,3.204045603
16,7001,0,1,3.204045603
17,7001,0,1,3.204045603
18,7001,0,1,3.204045603
19,7001,0,1,3.204045603
20,7001,0,1,3.161095930
21,7001,0,1,3.161095930
22,7001,0,1,3.161095930
23,7001,0,1,3.161095930
24,7001,0,1,3.161095930
25,7001,0,1,3.161095930
26,7001,0,1,3.161095930
27,7001,0,1,3.161095930
28,7001,0,1,3.161095930
29,7001,0,1,3.161095930
30,7001,0,1,3.195455668
30,7002,5,7,0.028605153
31,7001,0,1,3.195455668
31,7002,5,7,0.028605153
32,7001,0,1,3.195455668
32,7002,5,7,0.028605153
33,7001,0,1,3.195455668
33,7002,5,7,0.028605153
34,7001,0,1,3.195455668
34,7002,5,7,0.028605153
35,7001,0,1,3.195455668
35,7002,5,7,0.028605153
36,7001,0,1,3.195455668
36,7002,5,7,0.028605153
37,7001,0,1,3.195455668
37,7002,5,7,0.028605153
38,7001,0,1,3.195455668
38,7002,5,7,0.028605153
39,7001,0,1,3.195455668
39,7002,5,7,0.028605153
40,7001,0,1,3.169685864
40,7002,5,7,0.025081938
41,7001,0,1,3.169685864
41,7002,5,7,0.025081938
42,7001,0,1,3.169685864
42,7002,5,7,0.025081938
43,7001,0,1,3.169685864
43,7002,5,7,0.025081938
44,7001,0,1,3.169685864
44,7002,5,7,0.025081938
45,7001,0,1,3.169685864
45,7002,5,7,0.025081938
46,7001,0,1,3.169685864
46,7002,5,7,0.025081938
47,7001,0,1,3.169685864
47,7002,5,7,0.025081938
48,7001,0,1,3.169685864
48,7002,5,7,0.025081938
49,7001,0,1,3.169685864
49,7002,5,7,0.025081938
50,7001,0,1,3.195455668
50,7002,5,7,0.031541166
51,7001,0,1,3.195455668
51,7002,5,7,0.031541166
52,7001,0,1,3.195455668
52,7002,5,7,0.031541166
53,7001,0,1,3.195455668
