interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,57,S47,1,switch,50,50420,114,0,0,1,259.289,0,0,100,0
1,stage_arrival,11,S03,0,switch,6,50421,23,0,0,1,132.338,0,0,100,0
1,stage_arrival,15,S05,0,switch,12,50422,30,0,0,1,134.869,0,0,100,0
1,stage_arrival,30,S14,2,switch,31,50423,60,0,0,1,290.433,0,0,100,0
1,allocate_send_arrival,11,S03,0,switch,6,50421,23,0,0,1,132.338,0,100,0,0
1,allocate_send_arrival,57,S47,1,switch,50,50420,114,0,0,1,259.289,0,100,0,0
1,allocate_send_arrival,30,S14,2,switch,31,50423,60,0,0,1,290.433,0,100,0,0
1,allocate_send_arrival,15,S05,0,switch,12,50422,30,0,0,1,134.869,0,100,0,0
2,stage_arrival,15,S05,0,switch,12,50422,30,0,0,2,134.869,0,0,100,0
2,stage_arrival,57,S47,1,switch,50,50420,114,0,0,2,259.289,0,0,100,0
2,stage_arrival,11,S03,0,switch,6,50421,23,0,0,2,132.338,0,0,100,0
2,stage_arrival,50,S38,2,switch,4,50420,114,0,0,2,290.506,0,0,100,0
2,stage_arrival,6,S02,0,switch,1,50421,23,0,0,2,138.732,0,0,100,0
2,stage_arrival,31,S62,3,switch,5,50423,60,0,0,2,238.676,0,0,100,0
2,stage_arrival,12,S04,0,switch,6,50422,30,0,0,2,184.169,0,0,100,0
2,stage_arrival,30,S14,2,switch,31,50423,60,0,0,2,290.433,0,0,100,0
2,allocate_send_arrival,31,S62,3,switch,5,50423,60,0,0,2,238.676,0,100,0,0
2,allocate_send_arrival,57,S47,1,switch,50,50420,114,0,0,2,259.289,0,100,0,0
2,allocate_send_arrival,30,S14,2,switch,31,50423,60,0,0,2,290.433,0,100,0,0
2,allocate_send_arrival,11,S03,0,switch,6,50421,23,0,0,2,132.338,0,100,0,0
2,allocate_send_arrival,12,S04,0,switch,6,50422,30,0,0,2,184.169,0,100,0,0
2,allocate_send_arrival,15,S05,0,switch,12,50422,30,0,0,2,134.869,0,100,0,0
2,allocate_send_arrival,6,S02,0,switch,1,50421,23,0,0,2,138.732,0,100,0,0
2,allocate_send_arrival,50,S38,2,switch,4,50420,114,0,0,2,290.506,0,100,0,0
3,stage_arrival,12,S04,0,switch,6,50422,30,0,0,3,184.169,0,0,100,0
3,stage_arrival,31,S62,3,switch,5,50423,60,0,0,3,238.676,0,0,100,0
3,stage_arrival,1,S01,0,switch,0,50421,23,0,0,3,159.728,0,0,100,0
3,stage_arrival,30,S14,2,switch,31,50423,60,0,0,3,290.433,0,0,100,0
3,stage_arrival,57,S47,1,switch,50,50420,114,0,0,3,259.289,0,0,100,0
3,stage_arrival,11,S03,0,switch,6,50421,23,0,0,3,132.338,0,0,100,0
3,stage_arrival,50,S38,2,switch,4,50420,114,0,0,3,290.506,0,0,100,0
3,stage_arrival,6,S02,0,switch,1,50422,30,0,0,3,138.732,0,0,100,0
3,stage_arrival,4,S37,0,switch,0,50420,114,0,0,3,203.508,0,0,100,0
3,stage_arrival,6,S02,0,switch,1,50421,23,0,0,3,138.732,0,0,100,0
3,stage_arrival,15,S05,0,switch,12,50422,30,0,0,3,134.869,0,0,100,0
3,stage_arrival,5,S63,0,switch,0,50423,60,0,0,3,259.679,0,0,100,0
3,allocate_send_arrival,31,S62,3,switch,5,50423,60,0,0,3,238.676,0,100,0,0
3,allocate_send_arrival,5,S63,0,switch,0,50423,60,0,0,3,259.679,0,100,0,0
3,allocate_send_arrival,6,S02,0,switch,1,50422,30,0,0,3,138.732,0,69.366,30.634,0
3,enqueue_residual,6,S02,0,switch,1,50422,30,0,0,3,138.732,0,0,30.634,0
3,allocate_send_arrival,6,S02,0,switch,1,50421,23,0,0,3,138.732,0,69.366,30.634,0
3,enqueue_residual,6,S02,0,switch,1,50421,23,0,0,3,138.732,0,0,30.634,0
3,allocate_send_arrival,30,S14,2,switch,31,50423,60,0,0,3,290.433,0,100,0,0
3,allocate_send_arrival,57,S47,1,switch,50,50420,114,0,0,3,259.289,0,100,0,0
3,allocate_send_arrival,1,S01,0,switch,0,50421,23,0,0,3,159.728,0,100,0,0
3,allocate_send_arrival,12,S04,0,switch,6,50422,30,0,0,3,184.169,0,100,0,0
3,allocate_send_arrival,11,S03,0,switch,6,50421,23,0,0,3,132.338,0,100,0,0
3,allocate_send_arrival,50,S38,2,switch,4,50420,114,0,0,3,290.506,0,100,0,0
3,allocate_send_arrival,4,S37,0,switch,0,50420,114,0,0,3,203.508,0,100,0,0
3,allocate_send_arrival,15,S05,0,switch,12,50422,30,0,0,3,134.869,0,100,0,0
4,allocate_send_buffered,6,S02,0,switch,1,50422,30,0,0,4,138.732,61.268,30.634,0,0
4,allocate_send_buffered,6,S02,0,switch,1,50421,23,0,0,4,138.732,61.268,30.634,0,0
4,stage_arrival,1,S01,0,switch,0,50422,30,0,0,4,159.728,0,0,69.366,0
4,stage_arrival,57,S47,1,switch,50,50420,114,0,0,4,259.289,0,0,100,0
4,stage_arrival,6,S02,0,switch,1,50422,30,0,0,4,138.732,0,0,100,0
4,stage_arrival,4,S37,0,switch,0,50420,114,0,0,4,203.508,0,0,100,0
4,stage_arrival,5,S63,0,switch,0,50423,60,0,0,4,259.679,0,0,100,0
4,stage_arrival,50,S38,2,switch,4,50420,114,0,0,4,290.506,0,0,100,0
4,stage_arrival,1,S01,0,switch,0,50421,23,0,0,4,159.728,0,0,69.366,0
4,stage_arrival,12,S04,0,switch,6,50422,30,0,0,4,184.169,0,0,100,0
4,stage_arrival,6,S02,0,switch,1,50421,23,0,0,4,138.732,0,0,100,0
4,stage_arrival,15,S05,0,switch,12,50422,30,0,0,4,134.869,0,0,69.7328,0
4,stage_arrival,0,S00,5,terminal,0,50421,23,0,0,4,1000,0,0,100,0
4,stage_arrival,0,S00,5,terminal,0,50423,60,0,0,4,1000,0,0,100,0
4,stage_arrival,30,S14,2,switch,31,50423,60,0,0,4,290.433,0,0,100,0
4,stage_arrival,11,S03,0,switch,6,50421,23,0,0,4,132.338,0,0,69.706,0
4,stage_arrival,31,S62,3,switch,5,50423,60,0,0,4,238.676,0,0,100,0
4,stage_arrival,0,S00,5,terminal,0,50420,114,0,0,4,1000,0,0,100,0
4,allocate_send_arrival,0,S00,5,terminal,0,50421,23,0,0,4,1000,0,100,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,50423,60,0,0,4,1000,0,100,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,50420,114,0,0,4,1000,0,100,0,0
4,allocate_send_arrival,31,S62,3,switch,5,50423,60,0,0,4,238.676,0,100,0,0
4,allocate_send_arrival,57,S47,1,switch,50,50420,114,0,0,4,259.289,0,100,0,0
4,allocate_send_arrival,15,S05,0,switch,12,50422,30,0,0,4,134.869,0,69.7328,0,0
4,allocate_send_arrival,5,S63,0,switch,0,50423,60,0,0,4,259.679,0,100,0,0
4,allocate_send_arrival,50,S38,2,switch,4,50420,114,0,0,4,290.506,0,100,0,0
4,allocate_send_arrival,12,S04,0,switch,6,50422,30,0,0,4,184.169,0,100,0,0
4,allocate_send_arrival,30,S14,2,switch,31,50423,60,0,0,4,290.433,0,100,0,0
4,allocate_send_arrival,11,S03,0,switch,6,50421,23,0,0,4,132.338,0,69.706,0,0
4,allocate_send_arrival,4,S37,0,switch,0,50420,114,0,0,4,203.508,0,100,0,0
4,allocate_send_arrival,6,S02,0,switch,1,50422,30,0,0,4,138.732,0,38.732,61.268,0
4,enqueue_residual,6,S02,0,switch,1,50422,30,0,0,4,138.732,0,0,61.268,0
4,allocate_send_arrival,6,S02,0,switch,1,50421,23,0,0,4,138.732,0,38.732,61.268,0
4,enqueue_residual,6,S02,0,switch,1,50421,23,0,0,4,138.732,0,0,38.732,0
